t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.01,0.001,0.001,0.01,0.011
0.8,-0.017,-0.018,0.001,0.002,0.019,0.02
1.6,-0.02,-0.021,0.001,0.002,0.021,0.023
2.4,-0.019,-0.021,0.001,0.001,0.021,0.023
3.2,-0.019,-0.022,0.001,0.001,0.02,0.023
4.0,-0.019,-0.022,0.001,0.001,0.02,0.023
4.8,-0.019,-0.023,0.001,0.001,0.02,0.023
5.6,-0.019,-0.022,0.001,0.001,0.02,0.023
6.4,-0.019,-0.022,0.001,0.001,0.02,0.023
7.2,-0.019,-0.022,0.001,0.001,0.02,0.023
8.0,-0.018,-0.021,0.001,0.002,0.02,0.023
8.8,-0.018,-0.021,0.001,0.002,0.02,0.023
9.6,-0.019,-0.021,0.001,0.002,0.02,0.023
10.4,-0.019,-0.021,0.001,0.002,0.02,0.023
11.2,-0.019,-0.022,0.001,0.001,0.021,0.023
12.0,-0.019,-0.022,0.001,0.001,0.02,0.023
12.8,-0.019,-0.022,0.001,0.001,0.02,0.023
13.6,-0.019,-0.022,0.001,0.001,0.02,0.023
14.4,-0.02,-0.022,0.001,0.001,0.021,0.023
15.2,-0.019,-0.022,0.001,0.001,0.021,0.023
16.0,-0.019,-0.021,0.001,0.002,0.02,0.023
16.8,-0.019,-0.021,0.001,0.002,0.02,0.023
17.6,-0.019,-0.02,0.001,0.002,0.02,0.023
18.4,-0.019,-0.021,0.001,0.002,0.021,0.023
19.2,-0.02,-0.022,0.001,0.001,0.021,0.023
20.0,-0.02,-0.023,0.001,0.001,0.021,0.023
20.8,-0.019,-0.023,0.001,0.001,0.021,0.023
21.6,-0.019,-0.022,0.001,0.001,0.021,0.023
22.4,-0.019,-0.022,0.001,0.001,0.02,0.022
23.2,-0.019,-0.021,0.001,0.001,0.02,0.022
24.0,-0.019,-0.021,0.001,0.002,0.02,0.023
24.8,-0.019,-0.021,0.001,0.002,0.02,0.023
25.6,-0.019,-0.021,0.001,0.002,0.02,0.023
26.4,-0.019,-0.021,0.001,0.002,0.02,0.023
27.2,-0.019,-0.021,0.001,0.002,0.02,0.023
28.0,-0.018,-0.02,0.002,0.003,0.02,0.023
28.8,-0.018,-0.02,0.002,0.003,0.02,0.022
29.6,-0.019,-0.021,0.002,0.001,0.02,0.023
30.4,-0.019,-0.022,0.001,0.001,0.02,0.023
31.2,-0.019,-0.022,0.001,0.001,0.02,0.023
32.0,-0.018,-0.021,0.001,0.002,0.019,0.023
32.8,-0.019,-0.021,0.001,0.002,0.02,0.023
33.6,-0.018,-0.021,0.001,0.002,0.02,0.023
34.4,-0.019,-0.021,0.001,0.002,0.02,0.023
35.2,-0.019,-0.021,0.001,0.002,0.02,0.023
36.0,-0.019,-0.022,0.001,0.001,0.02,0.023
36.8,-0.019,-0.022,0.001,0.001,0.02,0.023
37.6,-0.018,-0.022,0.001,0.001,0.02,0.023
38.4,-0.019,-0.022,0.001,0.001,0.02,0.023
39.2,-0.019,-0.022,0.001,0.001,0.021,0.023
40.0,-0.02,-0.022,0.001,0.001,0.021,0.023
40.8,-0.02,-0.021,0.001,0.002,0.021,0.023
41.6,-0.019,-0.021,0.001,0.002,0.021,0.023
42.4,-0.019,-0.021,0.001,0.002,0.02,0.023
43.2,-0.019,-0.022,0.001,0.002,0.02,0.024
44.0,-0.019,-0.021,0.001,0.002,0.02,0.023
44.8,-0.052,-0.042,0.332,0.408,0.384,0.45
45.6,-0.376,-0.104,2.506,2.939,2.882,3.043
46.4,-0.715,-0.153,4.681,5.472,5.395,5.625
47.2,-0.728,-0.246,3.957,4.824,4.684,5.069
48.0,-0.639,-0.385,2.09,2.778,2.729,3.162
48.8,-0.651,-0.499,0.836,1.257,1.487,1.757
49.6,-0.664,-0.525,0.817,1.109,1.48,1.633
50.4,-0.646,-0.53,0.842,1.051,1.489,1.581
51.2,-0.629,-0.537,0.867,1.015,1.496,1.551
52.0,-0.614,-0.535,0.881,0.994,1.495,1.53
52.8,-0.597,-0.536,0.882,0.975,1.479,1.511
53.6,-0.593,-0.538,0.889,0.971,1.481,1.509
54.4,-0.593,-0.54,0.896,0.972,1.489,1.511
55.2,-0.594,-0.544,0.904,0.973,1.498,1.517
56.0,-0.598,-0.547,0.911,0.977,1.509,1.524
56.8,-0.601,-0.549,0.913,0.976,1.514,1.526
57.6,-0.602,-0.551,0.914,0.976,1.516,1.527
58.4,-0.603,-0.553,0.916,0.977,1.519,1.53
59.2,-0.611,-0.553,0.922,0.984,1.533,1.537
60.0,-0.609,-0.555,0.92,0.981,1.529,1.536
60.8,-0.602,-0.555,0.913,0.974,1.515,1.529
61.6,-0.599,-0.555,0.91,0.974,1.509,1.529
62.4,-0.6,-0.553,0.914,0.98,1.514,1.533
63.2,-0.6,-0.553,0.919,0.985,1.519,1.538
64.0,-0.603,-0.554,0.925,0.991,1.527,1.545
64.8,-0.604,-0.554,0.93,0.996,1.533,1.55
65.6,-0.606,-0.555,0.934,1.0,1.54,1.555
66.4,-0.608,-0.557,0.937,1.001,1.545,1.558
67.2,-0.614,-0.557,0.945,1.009,1.559,1.567
68.0,-0.614,-0.557,0.944,1.007,1.558,1.565
68.8,-0.609,-0.557,0.939,1.003,1.549,1.56
69.6,-0.604,-0.551,0.929,1.0,1.533,1.551
70.4,-0.601,-0.552,0.932,1.003,1.533,1.555
71.2,-0.604,-0.554,0.939,1.01,1.542,1.563
72.0,-0.607,-0.553,0.947,1.018,1.553,1.571
72.8,-0.609,-0.553,0.954,1.025,1.563,1.578
73.6,-0.61,-0.551,0.956,1.029,1.566,1.579
74.4,-0.61,-0.553,0.956,1.026,1.567,1.58
75.2,-0.612,-0.554,0.959,1.029,1.571,1.583
76.0,-0.614,-0.556,0.966,1.034,1.58,1.59
76.8,-0.613,-0.553,0.963,1.033,1.576,1.586
77.6,-0.606,-0.549,0.953,1.026,1.559,1.575
78.4,-0.603,-0.549,0.953,1.029,1.556,1.578
79.2,-0.602,-0.548,0.958,1.035,1.56,1.583
80.0,-0.602,-0.546,0.962,1.04,1.564,1.586
80.8,-0.604,-0.546,0.968,1.046,1.572,1.592
81.6,-0.606,-0.545,0.973,1.052,1.579,1.597
82.4,-0.607,-0.545,0.977,1.055,1.585,1.6
