t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.011,0.001,0.001,0.01,0.012
0.8,-0.017,-0.019,0.001,0.001,0.018,0.021
1.6,-0.019,-0.021,0.001,0.001,0.021,0.023
2.4,-0.019,-0.022,0.001,0.001,0.021,0.023
3.2,-0.019,-0.022,0.001,0.001,0.021,0.023
4.0,-0.019,-0.022,0.001,0.001,0.02,0.023
4.8,-0.02,-0.022,0.001,0.001,0.02,0.023
5.6,-0.02,-0.022,0.001,0.001,0.02,0.023
6.4,-0.02,-0.021,0.001,0.001,0.021,0.023
7.2,-0.019,-0.021,0.001,0.001,0.02,0.023
8.0,-0.02,-0.021,0.001,0.001,0.021,0.022
8.8,-0.02,-0.021,0.001,0.001,0.021,0.022
9.6,-0.019,-0.021,0.001,0.001,0.021,0.022
10.4,-0.019,-0.021,0.001,0.001,0.02,0.023
11.2,-0.019,-0.022,0.001,0.001,0.02,0.023
12.0,-0.02,-0.022,0.001,0.001,0.021,0.023
12.8,-0.02,-0.023,0.001,0.001,0.021,0.023
13.6,-0.02,-0.022,0.001,0.001,0.021,0.023
14.4,-0.02,-0.022,0.001,0.001,0.021,0.023
15.2,-0.02,-0.022,0.001,0.001,0.021,0.023
16.0,-0.02,-0.021,0.001,0.001,0.021,0.023
16.8,-0.02,-0.021,0.001,0.001,0.021,0.023
17.6,-0.02,-0.021,0.001,0.002,0.021,0.023
18.4,-0.019,-0.022,0.001,0.001,0.021,0.023
19.2,-0.019,-0.022,0.001,0.001,0.021,0.023
20.0,-0.019,-0.022,0.001,0.001,0.02,0.023
20.8,-0.019,-0.021,0.001,0.001,0.02,0.022
21.6,-0.019,-0.022,0.001,0.001,0.02,0.022
22.4,-0.019,-0.022,0.001,0.001,0.02,0.023
23.2,-0.02,-0.022,0.001,0.001,0.021,0.023
24.0,-0.019,-0.022,0.001,0.001,0.02,0.023
24.8,-0.019,-0.023,0.001,0.001,0.02,0.024
25.6,-0.019,-0.022,0.001,0.001,0.02,0.024
26.4,-0.019,-0.022,0.001,0.002,0.021,0.023
27.2,-0.02,-0.022,0.001,0.001,0.021,0.023
28.0,-0.018,-0.019,0.003,0.004,0.021,0.023
28.8,-0.017,-0.018,0.004,0.005,0.021,0.024
29.6,-0.017,-0.018,0.004,0.005,0.021,0.024
30.4,-0.019,-0.022,0.001,0.001,0.021,0.024
31.2,-0.02,-0.022,0.001,0.001,0.021,0.023
32.0,-0.019,-0.022,0.001,0.001,0.021,0.023
32.8,-0.019,-0.021,0.001,0.001,0.02,0.023
33.6,-0.019,-0.021,0.001,0.001,0.02,0.023
34.4,-0.019,-0.022,0.001,0.001,0.02,0.023
35.2,-0.019,-0.022,0.001,0.001,0.02,0.023
36.0,-0.019,-0.022,0.001,0.001,0.02,0.023
36.8,-0.019,-0.022,0.001,0.001,0.02,0.023
37.6,-0.019,-0.022,0.001,0.001,0.02,0.023
38.4,-0.019,-0.022,0.001,0.001,0.02,0.023
39.2,-0.019,-0.021,0.001,0.001,0.02,0.022
40.0,-0.019,-0.021,0.001,0.001,0.02,0.023
40.8,-0.019,-0.022,0.001,0.001,0.02,0.023
41.6,-0.019,-0.022,0.001,0.001,0.02,0.023
42.4,-0.019,-0.022,0.001,0.002,0.021,0.023
43.2,-0.019,-0.021,0.001,0.001,0.02,0.023
44.0,-0.019,-0.021,0.001,0.001,0.02,0.023
44.8,-0.02,-0.022,0.001,0.001,0.021,0.023
45.6,-0.117,-0.066,0.83,0.989,0.947,1.055
46.4,-0.458,-0.122,3.038,3.554,3.496,3.676
47.2,-0.675,-0.28,4.36,5.22,5.035,5.5
48.0,-0.656,-0.418,2.763,3.46,3.419,3.878
48.8,-0.619,-0.571,0.926,1.398,1.546,1.968
49.6,-0.679,-0.596,0.78,1.053,1.46,1.649
50.4,-0.68,-0.602,0.781,0.98,1.46,1.582
51.2,-0.674,-0.595,0.796,0.95,1.47,1.544
52.0,-0.66,-0.587,0.807,0.929,1.467,1.516
52.8,-0.639,-0.578,0.812,0.912,1.451,1.49
53.6,-0.629,-0.575,0.824,0.91,1.453,1.484
54.4,-0.625,-0.573,0.834,0.911,1.459,1.484
55.2,-0.626,-0.577,0.842,0.912,1.468,1.489
