t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.011,0.0,0.0,0.01,0.012
0.8,-0.017,-0.02,0.001,0.001,0.018,0.021
1.6,-0.019,-0.022,0.001,0.001,0.02,0.023
2.4,-0.02,-0.022,0.001,0.001,0.021,0.023
3.2,-0.02,-0.021,0.001,0.001,0.021,0.023
4.0,-0.02,-0.022,0.001,0.001,0.021,0.023
4.8,-0.019,-0.022,0.001,0.001,0.02,0.023
5.6,-0.019,-0.022,0.001,0.001,0.02,0.023
6.4,-0.019,-0.022,0.001,0.001,0.02,0.023
7.2,-0.019,-0.022,0.001,0.001,0.02,0.023
8.0,-0.019,-0.022,0.001,0.001,0.02,0.023
8.8,-0.02,-0.022,0.001,0.001,0.021,0.023
9.6,-0.02,-0.023,0.001,0.001,0.021,0.024
10.4,-0.02,-0.023,0.001,0.001,0.021,0.023
11.2,-0.019,-0.022,0.001,0.001,0.02,0.023
12.0,-0.019,-0.021,0.001,0.001,0.02,0.022
12.8,-0.019,-0.021,0.001,0.001,0.02,0.023
13.6,-0.02,-0.021,0.001,0.001,0.021,0.023
14.4,-0.02,-0.022,0.001,0.001,0.021,0.023
15.2,-0.019,-0.022,0.001,0.001,0.02,0.023
16.0,-0.02,-0.023,0.001,0.001,0.021,0.024
16.8,-0.02,-0.022,0.001,0.001,0.021,0.023
17.6,-0.02,-0.022,0.001,0.001,0.021,0.023
18.4,-0.02,-0.021,0.001,0.001,0.021,0.022
19.2,-0.019,-0.021,0.001,0.001,0.02,0.022
20.0,-0.019,-0.021,0.001,0.001,0.02,0.022
20.8,-0.019,-0.021,0.001,0.001,0.02,0.023
21.6,-0.019,-0.022,0.001,0.001,0.021,0.023
22.4,-0.019,-0.022,0.001,0.001,0.021,0.023
23.2,-0.019,-0.022,0.001,0.001,0.02,0.023
24.0,-0.019,-0.022,0.001,0.001,0.02,0.023
24.8,-0.019,-0.022,0.001,0.001,0.02,0.023
25.6,-0.019,-0.022,0.001,0.001,0.02,0.022
26.4,-0.019,-0.022,0.001,0.001,0.02,0.023
27.2,-0.018,-0.022,0.002,0.002,0.02,0.023
28.0,-0.019,-0.022,0.002,0.002,0.021,0.024
28.8,-0.018,-0.021,0.002,0.002,0.021,0.023
29.6,-0.019,-0.021,0.001,0.002,0.021,0.023
30.4,-0.019,-0.022,0.001,0.001,0.02,0.023
31.2,-0.019,-0.022,0.001,0.001,0.02,0.023
32.0,-0.019,-0.022,0.001,0.001,0.02,0.023
32.8,-0.019,-0.023,0.001,0.001,0.02,0.023
33.6,-0.019,-0.023,0.001,0.001,0.02,0.023
34.4,-0.019,-0.021,0.001,0.001,0.02,0.022
35.2,-0.019,-0.021,0.001,0.001,0.02,0.022
36.0,-0.019,-0.021,0.001,0.001,0.02,0.022
36.8,-0.019,-0.021,0.001,0.002,0.021,0.023
37.6,-0.019,-0.022,0.001,0.001,0.02,0.023
38.4,-0.019,-0.022,0.001,0.001,0.02,0.023
39.2,-0.02,-0.022,0.001,0.001,0.021,0.023
40.0,-0.02,-0.022,0.001,0.001,0.021,0.023
40.8,-0.019,-0.022,0.001,0.001,0.02,0.023
41.6,-0.019,-0.022,0.001,0.001,0.02,0.023
42.4,-0.019,-0.022,0.001,0.001,0.02,0.023
43.2,-0.019,-0.022,0.001,0.001,0.02,0.023
44.0,-0.019,-0.022,0.001,0.001,0.02,0.023
44.8,-0.019,-0.021,0.002,0.002,0.021,0.023
45.6,-0.238,-0.119,1.793,2.107,2.031,2.226
46.4,-0.471,-0.417,2.637,2.988,3.107,3.405
47.2,-0.709,-0.645,2.471,2.739,3.18,3.384
48.0,-0.791,-0.701,1.316,1.462,2.106,2.163
48.8,-0.82,-0.736,1.253,1.396,2.074,2.132
49.6,-0.834,-0.736,1.236,1.392,2.07,2.128
50.4,-0.842,-0.728,1.232,1.402,2.074,2.13
51.2,-0.848,-0.733,1.235,1.405,2.083,2.138
52.0,-0.851,-0.74,1.239,1.404,2.09,2.144
52.8,-0.855,-0.754,1.241,1.395,2.097,2.149
53.6,-0.859,-0.769,1.245,1.387,2.104,2.155
54.4,-0.874,-0.803,1.245,1.363,2.12,2.166
55.2,-0.867,-0.8,1.248,1.361,2.115,2.162
56.0,-0.844,-0.771,1.26,1.385,2.104,2.156
56.8,-0.813,-0.72,1.295,1.447,2.108,2.168
57.6,-0.799,-0.7,1.317,1.481,2.116,2.18
58.4,-0.801,-0.703,1.33,1.49,2.131,2.193
59.2,-0.809,-0.719,1.337,1.486,2.145,2.205
60.0,-0.818,-0.737,1.337,1.473,2.154,2.21
60.8,-0.822,-0.747,1.341,1.469,2.163,2.216
61.6,-0.819,-0.742,1.35,1.479,2.169,2.221
62.4,-0.82,-0.744,1.362,1.489,2.182,2.233
63.2,-0.822,-0.749,1.364,1.486,2.186,2.235
64.0,-0.814,-0.734,1.376,1.506,2.19,2.24
64.8,-0.793,-0.691,1.397,1.554,2.191,2.245
65.6,-0.783,-0.67,1.418,1.588,2.201,2.258
66.4,-0.779,-0.659,1.434,1.612,2.213,2.271
67.2,-0.777,-0.656,1.447,1.626,2.225,2.282
68.0,-0.78,-0.661,1.455,1.631,2.235,2.292
68.8,-0.783,-0.667,1.463,1.634,2.246,2.301
69.6,-0.789,-0.678,1.468,1.632,2.258,2.31
70.4,-0.796,-0.689,1.473,1.628,2.268,2.317
71.2,-0.809,-0.715,1.47,1.607,2.279,2.323
72.0,-0.804,-0.706,1.476,1.62,2.28,2.325
72.8,-0.787,-0.668,1.489,1.658,2.275,2.326
73.6,-0.772,-0.631,1.516,1.712,2.288,2.343
74.4,-0.767,-0.617,1.535,1.739,2.302,2.356
75.2,-0.77,-0.623,1.544,1.745,2.314,2.367
76.0,-0.78,-0.643,1.549,1.734,2.329,2.377
76.8,-0.791,-0.664,1.547,1.717,2.338,2.381
77.6,-0.796,-0.675,1.546,1.708,2.342,2.383
78.4,-0.796,-0.672,1.553,1.717,2.349,2.389
79.2,-0.803,-0.683,1.561,1.715,2.364,2.398
80.0,-0.803,-0.684,1.56,1.715,2.363,2.399
80.8,-0.795,-0.664,1.569,1.737,2.364,2.401
81.6,-0.78,-0.62,1.591,1.791,2.371,2.411
82.4,-0.773,-0.6,1.607,1.821,2.38,2.421
83.2,-0.772,-0.594,1.622,1.839,2.394,2.433
84.0,-0.772,-0.592,1.632,1.85,2.404,2.442
84.8,-0.774,-0.597,1.637,1.851,2.411,2.448
85.6,-0.779,-0.605,1.644,1.851,2.423,2.456
86.4,-0.786,-0.62,1.645,1.841,2.431,2.461
87.2,-0.794,-0.639,1.646,1.828,2.441,2.467
88.0,-0.804,-0.664,1.638,1.801,2.442,2.465
88.8,-0.802,-0.65,1.642,1.816,2.444,2.466
89.6,-0.786,-0.603,1.654,1.864,2.44,2.467
90.4,-0.775,-0.568,1.678,1.913,2.453,2.481
91.2,-0.772,-0.556,1.696,1.94,2.468,2.495
92.0,-0.775,-0.565,1.702,1.939,2.478,2.503
92.8,-0.788,-0.594,1.703,1.916,2.492,2.511
93.6,-0.797,-0.616,1.698,1.894,2.495,2.51
94.4,-0.802,-0.623,1.693,1.884,2.495,2.507
95.2,-0.804,-0.62,1.699,1.893,2.503,2.513
96.0,-0.81,-0.635,1.702,1.885,2.513,2.519
96.8,-0.809,-0.629,1.701,1.888,2.51,2.518
97.6,-0.802,-0.601,1.708,1.917,2.51,2.518
98.4,-0.791,-0.553,1.73,1.977,2.52,2.53
99.2,-0.784,-0.533,1.746,2.008,2.53,2.541
100.0,-0.783,-0.526,1.757,2.023,2.54,2.55
100.8,-0.785,-0.525,1.766,2.033,2.552,2.558
101.6,-0.789,-0.53,1.77,2.031,2.559,2.561
