t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.011,0.0,0.0,0.01,0.012
0.8,-0.017,-0.02,0.001,0.001,0.018,0.021
1.6,-0.019,-0.022,0.001,0.001,0.02,0.023
2.4,-0.019,-0.021,0.001,0.001,0.02,0.023
3.2,-0.019,-0.022,0.001,0.001,0.02,0.023
4.0,-0.019,-0.022,0.001,0.001,0.02,0.023
4.8,-0.019,-0.022,0.001,0.001,0.02,0.023
5.6,-0.019,-0.022,0.001,0.001,0.02,0.023
6.4,-0.019,-0.022,0.001,0.001,0.02,0.023
7.2,-0.02,-0.022,0.001,0.001,0.021,0.023
8.0,-0.02,-0.022,0.001,0.001,0.021,0.023
8.8,-0.02,-0.023,0.001,0.001,0.021,0.024
9.6,-0.02,-0.022,0.001,0.001,0.021,0.023
10.4,-0.019,-0.022,0.001,0.001,0.02,0.023
11.2,-0.019,-0.021,0.001,0.002,0.02,0.023
12.0,-0.019,-0.022,0.001,0.001,0.02,0.023
12.8,-0.019,-0.022,0.001,0.001,0.02,0.023
13.6,-0.019,-0.022,0.001,0.001,0.02,0.023
14.4,-0.019,-0.022,0.001,0.001,0.02,0.023
15.2,-0.019,-0.022,0.001,0.001,0.02,0.023
16.0,-0.019,-0.023,0.001,0.001,0.02,0.023
16.8,-0.019,-0.022,0.001,0.001,0.02,0.023
17.6,-0.02,-0.022,0.001,0.001,0.021,0.023
18.4,-0.019,-0.022,0.001,0.001,0.02,0.023
19.2,-0.019,-0.021,0.001,0.001,0.02,0.022
20.0,-0.019,-0.021,0.001,0.001,0.02,0.022
20.8,-0.019,-0.021,0.001,0.001,0.02,0.022
21.6,-0.019,-0.023,0.001,0.001,0.02,0.023
22.4,-0.019,-0.023,0.001,0.001,0.02,0.023
23.2,-0.019,-0.023,0.001,0.001,0.02,0.023
24.0,-0.019,-0.023,0.001,0.001,0.02,0.023
24.8,-0.02,-0.021,0.001,0.002,0.021,0.023
25.6,-0.019,-0.019,0.002,0.003,0.021,0.023
26.4,-0.018,-0.019,0.003,0.004,0.021,0.023
27.2,-0.019,-0.021,0.002,0.002,0.02,0.023
28.0,-0.02,-0.021,0.001,0.001,0.021,0.023
28.8,-0.02,-0.022,0.001,0.001,0.021,0.023
29.6,-0.02,-0.022,0.001,0.001,0.021,0.023
30.4,-0.02,-0.022,0.001,0.001,0.02,0.023
31.2,-0.019,-0.022,0.001,0.001,0.02,0.023
32.0,-0.019,-0.022,0.001,0.001,0.02,0.023
32.8,-0.019,-0.023,0.001,0.001,0.02,0.024
33.6,-0.019,-0.023,0.001,0.001,0.02,0.024
34.4,-0.02,-0.023,0.001,0.001,0.02,0.024
35.2,-0.019,-0.022,0.001,0.001,0.02,0.023
36.0,-0.019,-0.022,0.001,0.001,0.02,0.023
36.8,-0.019,-0.022,0.001,0.001,0.02,0.023
37.6,-0.019,-0.022,0.001,0.001,0.02,0.023
38.4,-0.019,-0.022,0.001,0.001,0.02,0.023
39.2,-0.019,-0.022,0.001,0.001,0.02,0.023
40.0,-0.019,-0.022,0.001,0.001,0.02,0.023
40.8,-0.019,-0.022,0.001,0.001,0.02,0.023
41.6,-0.019,-0.022,0.001,0.001,0.02,0.023
42.4,-0.019,-0.022,0.001,0.001,0.02,0.023
43.2,-0.169,-0.096,1.305,1.543,1.474,1.639
44.0,-0.366,-0.295,2.768,3.222,3.133,3.517
44.8,-0.611,-0.465,3.153,3.663,3.764,4.128
45.6,-0.624,-0.571,1.624,1.867,2.248,2.438
46.4,-0.706,-0.56,1.493,1.684,2.198,2.244
47.2,-0.693,-0.588,1.479,1.639,2.172,2.227
48.0,-0.68,-0.59,1.486,1.641,2.166,2.231
48.8,-0.669,-0.584,1.499,1.655,2.168,2.239
49.6,-0.663,-0.582,1.51,1.663,2.172,2.245
50.4,-0.657,-0.577,1.522,1.673,2.178,2.25
51.2,-0.653,-0.576,1.533,1.681,2.186,2.257
52.0,-0.65,-0.577,1.545,1.687,2.195,2.264
52.8,-0.65,-0.591,1.553,1.676,2.203,2.267
53.6,-0.643,-0.582,1.564,1.692,2.207,2.274
54.4,-0.633,-0.553,1.578,1.728,2.211,2.281
55.2,-0.623,-0.518,1.606,1.785,2.229,2.302
56.0,-0.617,-0.5,1.628,1.82,2.245,2.32
56.8,-0.613,-0.499,1.645,1.834,2.258,2.334
57.6,-0.613,-0.512,1.659,1.833,2.272,2.345
58.4,-0.611,-0.526,1.668,1.823,2.279,2.349
59.2,-0.608,-0.532,1.679,1.824,2.287,2.355
60.0,-0.604,-0.526,1.693,1.842,2.297,2.368
60.8,-0.601,-0.526,1.71,1.854,2.311,2.38
61.6,-0.597,-0.529,1.721,1.859,2.318,2.388
62.4,-0.594,-0.515,1.735,1.886,2.329,2.4
63.2,-0.59,-0.487,1.754,1.933,2.344,2.42
64.0,-0.588,-0.47,1.774,1.969,2.361,2.439
64.8,-0.584,-0.464,1.792,1.992,2.377,2.455
65.6,-0.581,-0.463,1.81,2.007,2.391,2.47
66.4,-0.578,-0.467,1.823,2.013,2.401,2.48
67.2,-0.575,-0.473,1.836,2.018,2.411,2.491
68.0,-0.573,-0.477,1.848,2.021,2.421,2.499
68.8,-0.57,-0.483,1.86,2.025,2.43,2.508
69.6,-0.566,-0.491,1.87,2.024,2.437,2.515
70.4,-0.565,-0.485,1.883,2.041,2.448,2.526
71.2,-0.566,-0.466,1.895,2.072,2.461,2.538
72.0,-0.564,-0.45,1.912,2.107,2.477,2.557
72.8,-0.563,-0.441,1.929,2.133,2.492,2.574
73.6,-0.559,-0.447,1.944,2.138,2.503,2.585
74.4,-0.555,-0.456,1.956,2.138,2.511,2.593
75.2,-0.552,-0.462,1.966,2.138,2.518,2.6
76.0,-0.551,-0.46,1.976,2.147,2.527,2.607
76.8,-0.55,-0.459,1.987,2.159,2.537,2.618
77.6,-0.548,-0.46,1.999,2.169,2.547,2.629
78.4,-0.547,-0.456,2.009,2.183,2.557,2.639
79.2,-0.546,-0.449,2.021,2.202,2.567,2.65
80.0,-0.545,-0.438,2.036,2.226,2.581,2.665
80.8,-0.545,-0.43,2.049,2.248,2.594,2.678
81.6,-0.543,-0.428,2.062,2.261,2.605,2.689
82.4,-0.542,-0.427,2.073,2.272,2.615,2.699
83.2,-0.539,-0.428,2.084,2.28,2.623,2.708
84.0,-0.539,-0.425,2.094,2.29,2.633,2.715
84.8,-0.538,-0.426,2.103,2.299,2.641,2.725
85.6,-0.539,-0.425,2.111,2.308,2.65,2.734
86.4,-0.54,-0.425,2.119,2.316,2.658,2.74
87.2,-0.54,-0.42,2.129,2.33,2.669,2.75
88.0,-0.537,-0.41,2.142,2.351,2.68,2.761
88.8,-0.536,-0.405,2.156,2.369,2.692,2.775
89.6,-0.537,-0.4,2.167,2.384,2.704,2.784
90.4,-0.536,-0.402,2.176,2.392,2.712,2.794
91.2,-0.537,-0.402,2.183,2.397,2.72,2.799
92.0,-0.539,-0.401,2.19,2.406,2.729,2.807
92.8,-0.539,-0.399,2.198,2.416,2.738,2.814
93.6,-0.539,-0.396,2.207,2.427,2.747,2.823
94.4,-0.541,-0.395,2.213,2.436,2.754,2.831
95.2,-0.542,-0.391,2.222,2.447,2.763,2.838
96.0,-0.54,-0.385,2.232,2.461,2.772,2.846
96.8,-0.537,-0.379,2.247,2.48,2.785,2.859
97.6,-0.538,-0.373,2.258,2.496,2.796,2.869
98.4,-0.539,-0.371,2.267,2.506,2.806,2.877
99.2,-0.539,-0.369,2.275,2.516,2.815,2.885
100.0,-0.539,-0.368,2.283,2.525,2.822,2.893
100.8,-0.541,-0.365,2.29,2.533,2.831,2.899
101.6,-0.543,-0.365,2.296,2.541,2.839,2.905
