t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.01,-0.011,0.0,0.0,0.01,0.011
0.8,-0.017,-0.02,0.001,0.001,0.018,0.021
1.6,-0.019,-0.022,0.001,0.001,0.02,0.023
2.4,-0.019,-0.021,0.001,0.001,0.02,0.022
3.2,-0.019,-0.02,0.001,0.002,0.02,0.022
4.0,-0.019,-0.02,0.001,0.002,0.02,0.022
4.8,-0.019,-0.021,0.001,0.002,0.021,0.023
5.6,-0.019,-0.021,0.001,0.002,0.02,0.023
6.4,-0.018,-0.021,0.001,0.001,0.02,0.022
7.2,-0.019,-0.021,0.001,0.001,0.02,0.023
8.0,-0.019,-0.022,0.001,0.001,0.02,0.023
8.8,-0.02,-0.022,0.001,0.001,0.021,0.023
9.6,-0.02,-0.022,0.001,0.001,0.021,0.023
10.4,-0.019,-0.022,0.001,0.001,0.021,0.023
11.2,-0.019,-0.021,0.001,0.002,0.02,0.023
12.0,-0.019,-0.02,0.001,0.002,0.02,0.022
12.8,-0.019,-0.021,0.001,0.002,0.02,0.023
13.6,-0.019,-0.021,0.001,0.002,0.02,0.023
14.4,-0.019,-0.021,0.001,0.001,0.02,0.022
15.2,-0.019,-0.021,0.001,0.001,0.02,0.022
16.0,-0.019,-0.022,0.001,0.001,0.02,0.023
16.8,-0.019,-0.022,0.001,0.001,0.02,0.023
17.6,-0.019,-0.022,0.001,0.001,0.02,0.023
18.4,-0.019,-0.022,0.001,0.001,0.021,0.023
19.2,-0.02,-0.022,0.001,0.001,0.021,0.023
20.0,-0.019,-0.021,0.001,0.002,0.021,0.023
20.8,-0.019,-0.02,0.002,0.002,0.021,0.022
21.6,-0.019,-0.021,0.001,0.002,0.02,0.022
22.4,-0.019,-0.021,0.001,0.002,0.02,0.023
23.2,-0.019,-0.021,0.001,0.001,0.02,0.022
24.0,-0.019,-0.021,0.001,0.001,0.02,0.023
24.8,-0.019,-0.021,0.001,0.001,0.02,0.023
25.6,-0.019,-0.022,0.001,0.001,0.02,0.023
26.4,-0.019,-0.022,0.001,0.001,0.02,0.023
27.2,-0.019,-0.021,0.001,0.002,0.02,0.023
28.0,-0.018,-0.019,0.002,0.003,0.02,0.023
28.8,-0.017,-0.016,0.003,0.008,0.02,0.023
29.6,-0.017,-0.015,0.004,0.008,0.021,0.023
30.4,-0.018,-0.019,0.002,0.003,0.02,0.022
31.2,-0.019,-0.021,0.001,0.001,0.02,0.022
32.0,-0.019,-0.022,0.001,0.001,0.02,0.022
32.8,-0.019,-0.022,0.001,0.001,0.02,0.023
33.6,-0.019,-0.022,0.001,0.001,0.02,0.023
34.4,-0.019,-0.022,0.001,0.001,0.02,0.023
35.2,-0.019,-0.022,0.001,0.001,0.02,0.023
36.0,-0.019,-0.021,0.001,0.001,0.02,0.023
36.8,-0.019,-0.021,0.001,0.002,0.02,0.023
37.6,-0.019,-0.021,0.001,0.002,0.02,0.023
38.4,-0.019,-0.021,0.001,0.002,0.02,0.023
39.2,-0.019,-0.021,0.001,0.002,0.02,0.023
40.0,-0.019,-0.021,0.001,0.001,0.02,0.022
40.8,-0.019,-0.021,0.001,0.001,0.02,0.022
41.6,-0.019,-0.021,0.001,0.001,0.021,0.022
42.4,-0.019,-0.021,0.001,0.001,0.02,0.022
43.2,-0.019,-0.021,0.001,0.001,0.02,0.023
44.0,-0.019,-0.021,0.001,0.001,0.02,0.023
44.8,-0.019,-0.021,0.001,0.002,0.02,0.023
45.6,-0.084,-0.05,0.591,0.718,0.675,0.768
46.4,-0.432,-0.101,2.793,3.299,3.225,3.4
47.2,-0.621,-0.301,4.524,5.317,5.145,5.618
48.0,-0.606,-0.645,3.184,3.706,3.791,4.351
48.8,-0.579,-1.007,1.262,1.455,1.842,2.463
49.6,-0.845,-1.043,0.676,0.783,1.521,1.826
50.4,-0.943,-1.058,0.602,0.684,1.546,1.742
51.2,-0.987,-1.071,0.577,0.627,1.563,1.698
52.0,-1.008,-1.075,0.566,0.596,1.574,1.671
52.8,-1.018,-1.076,0.56,0.576,1.578,1.651
53.6,-1.022,-1.08,0.559,0.563,1.581,1.642
54.4,-1.037,-1.091,0.562,0.557,1.599,1.648
55.2,-1.035,-1.091,0.557,0.546,1.592,1.637
56.0,-1.024,-1.08,0.556,0.545,1.58,1.624
56.8,-1.007,-1.067,0.564,0.551,1.57,1.619
57.6,-1.002,-1.064,0.573,0.559,1.574,1.623
58.4,-1.0,-1.063,0.578,0.565,1.579,1.627
59.2,-1.001,-1.064,0.583,0.568,1.583,1.632
60.0,-1.003,-1.066,0.586,0.571,1.589,1.637
60.8,-1.009,-1.072,0.589,0.572,1.598,1.644
61.6,-1.015,-1.076,0.59,0.573,1.605,1.648
62.4,-1.028,-1.087,0.593,0.575,1.621,1.662
63.2,-1.039,-1.094,0.587,0.567,1.625,1.662
64.0,-1.032,-1.089,0.584,0.566,1.616,1.654
64.8,-1.004,-1.067,0.585,0.57,1.589,1.637
65.6,-0.994,-1.06,0.599,0.584,1.593,1.644
66.4,-0.994,-1.061,0.608,0.593,1.602,1.654
67.2,-1.0,-1.066,0.613,0.597,1.613,1.663
68.0,-1.012,-1.076,0.615,0.598,1.627,1.674
68.8,-1.019,-1.08,0.613,0.596,1.632,1.676
