t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.011,0.001,0.001,0.01,0.012
0.8,-0.017,-0.02,0.001,0.001,0.018,0.021
1.6,-0.019,-0.022,0.001,0.001,0.02,0.023
2.4,-0.019,-0.022,0.001,0.001,0.02,0.024
3.2,-0.019,-0.021,0.001,0.001,0.02,0.023
4.0,-0.019,-0.021,0.001,0.001,0.02,0.023
4.8,-0.019,-0.022,0.001,0.001,0.02,0.023
5.6,-0.019,-0.022,0.001,0.001,0.02,0.023
6.4,-0.019,-0.022,0.001,0.001,0.02,0.023
7.2,-0.019,-0.022,0.001,0.001,0.02,0.023
8.0,-0.02,-0.022,0.001,0.001,0.021,0.023
8.8,-0.019,-0.022,0.001,0.001,0.02,0.023
9.6,-0.019,-0.022,0.001,0.001,0.02,0.023
10.4,-0.019,-0.021,0.001,0.001,0.02,0.023
11.2,-0.019,-0.021,0.001,0.001,0.021,0.023
12.0,-0.02,-0.022,0.001,0.001,0.021,0.023
12.8,-0.02,-0.022,0.001,0.001,0.021,0.023
13.6,-0.02,-0.022,0.001,0.001,0.021,0.023
14.4,-0.02,-0.022,0.001,0.001,0.02,0.023
15.2,-0.02,-0.023,0.001,0.001,0.021,0.023
16.0,-0.02,-0.022,0.001,0.001,0.021,0.023
16.8,-0.02,-0.022,0.001,0.001,0.021,0.023
17.6,-0.02,-0.022,0.001,0.001,0.021,0.023
18.4,-0.02,-0.022,0.001,0.001,0.021,0.023
19.2,-0.02,-0.021,0.001,0.001,0.021,0.023
20.0,-0.019,-0.021,0.001,0.002,0.02,0.022
20.8,-0.019,-0.021,0.001,0.001,0.02,0.022
21.6,-0.019,-0.021,0.001,0.001,0.02,0.022
22.4,-0.02,-0.022,0.001,0.001,0.021,0.023
23.2,-0.02,-0.022,0.001,0.001,0.021,0.022
24.0,-0.02,-0.021,0.001,0.001,0.021,0.022
24.8,-0.019,-0.021,0.001,0.001,0.02,0.022
25.6,-0.019,-0.021,0.001,0.001,0.02,0.023
26.4,-0.017,-0.019,0.003,0.004,0.021,0.023
27.2,-0.017,-0.018,0.004,0.006,0.021,0.023
28.0,-0.016,-0.018,0.005,0.006,0.021,0.024
28.8,-0.019,-0.021,0.002,0.002,0.021,0.023
29.6,-0.019,-0.022,0.001,0.001,0.02,0.023
30.4,-0.019,-0.022,0.001,0.001,0.02,0.023
31.2,-0.019,-0.022,0.001,0.001,0.02,0.023
32.0,-0.02,-0.022,0.001,0.001,0.021,0.023
32.8,-0.019,-0.022,0.001,0.001,0.021,0.023
33.6,-0.019,-0.022,0.001,0.001,0.02,0.023
34.4,-0.019,-0.022,0.001,0.001,0.02,0.023
35.2,-0.019,-0.022,0.001,0.001,0.02,0.023
36.0,-0.019,-0.021,0.001,0.001,0.021,0.023
36.8,-0.019,-0.022,0.001,0.001,0.021,0.023
37.6,-0.019,-0.022,0.001,0.001,0.02,0.023
38.4,-0.019,-0.022,0.001,0.001,0.02,0.023
39.2,-0.019,-0.022,0.001,0.001,0.021,0.023
40.0,-0.019,-0.022,0.001,0.001,0.02,0.022
40.8,-0.019,-0.021,0.001,0.001,0.021,0.022
41.6,-0.02,-0.021,0.001,0.001,0.021,0.023
42.4,-0.02,-0.022,0.001,0.001,0.021,0.023
43.2,-0.02,-0.021,0.001,0.001,0.021,0.023
44.0,-0.02,-0.022,0.001,0.001,0.021,0.023
44.8,-0.154,-0.064,1.055,1.263,1.21,1.327
45.6,-0.505,-0.11,3.276,3.855,3.781,3.965
46.4,-0.857,-0.147,5.434,6.368,6.291,6.515
47.2,-0.898,-0.126,5.547,6.474,6.445,6.6
48.0,-0.894,-0.127,5.54,6.464,6.434,6.592
48.8,-0.889,-0.133,5.534,6.45,6.423,6.583
49.6,-0.847,-0.168,5.524,6.384,6.371,6.552
50.4,-0.791,-0.212,5.509,6.3,6.3,6.512
51.2,-0.764,-0.237,5.491,6.252,6.255,6.49
52.0,-0.774,-0.225,5.484,6.26,6.258,6.485
52.8,-0.733,-0.24,5.282,6.094,6.015,6.334
53.6,-0.647,-0.454,3.543,4.321,4.19,4.775
54.4,-0.663,-0.726,1.678,2.301,2.341,3.027
55.2,-0.836,-0.896,0.756,1.147,1.592,2.043
56.0,-0.95,-0.955,0.63,0.942,1.58,1.897
56.8,-1.004,-1.002,0.576,0.823,1.58,1.825
57.6,-1.024,-1.036,0.56,0.748,1.585,1.784
58.4,-1.034,-1.063,0.557,0.694,1.592,1.757
59.2,-1.042,-1.083,0.558,0.655,1.599,1.738
60.0,-1.048,-1.095,0.56,0.631,1.608,1.726
60.8,-1.056,-1.105,0.561,0.612,1.617,1.717
61.6,-1.074,-1.12,0.564,0.599,1.638,1.719
62.4,-1.071,-1.119,0.559,0.583,1.63,1.703
63.2,-1.05,-1.105,0.555,0.571,1.605,1.676
64.0,-1.032,-1.093,0.565,0.574,1.597,1.666
64.8,-1.028,-1.09,0.575,0.579,1.603,1.668
65.6,-1.031,-1.093,0.582,0.582,1.613,1.674
66.4,-1.038,-1.101,0.587,0.581,1.625,1.682
67.2,-1.043,-1.105,0.587,0.579,1.63,1.684
68.0,-1.047,-1.107,0.586,0.575,1.633,1.683
68.8,-1.047,-1.106,0.586,0.574,1.633,1.68
69.6,-1.056,-1.115,0.591,0.576,1.646,1.691
70.4,-1.055,-1.114,0.587,0.571,1.642,1.685
71.2,-1.048,-1.107,0.585,0.569,1.632,1.676
72.0,-1.027,-1.09,0.587,0.572,1.613,1.662
72.8,-1.02,-1.086,0.596,0.58,1.616,1.666
73.6,-1.019,-1.086,0.602,0.587,1.621,1.673
74.4,-1.019,-1.086,0.607,0.591,1.626,1.677
75.2,-1.021,-1.089,0.609,0.593,1.631,1.681
76.0,-1.024,-1.091,0.611,0.595,1.636,1.685
76.8,-1.029,-1.095,0.612,0.595,1.642,1.69
77.6,-1.036,-1.102,0.614,0.595,1.65,1.697
78.4,-1.052,-1.114,0.612,0.593,1.664,1.706
79.2,-1.048,-1.11,0.606,0.588,1.654,1.698
80.0,-1.026,-1.092,0.601,0.585,1.627,1.677
80.8,-1.015,-1.083,0.612,0.596,1.627,1.68
81.6,-1.013,-1.082,0.621,0.605,1.634,1.687
82.4,-1.017,-1.085,0.626,0.609,1.643,1.695
83.2,-1.026,-1.092,0.629,0.613,1.655,1.705
84.0,-1.033,-1.098,0.628,0.611,1.661,1.709
84.8,-1.036,-1.1,0.626,0.609,1.663,1.709
85.6,-1.038,-1.102,0.626,0.609,1.664,1.711
86.4,-1.05,-1.11,0.63,0.613,1.68,1.723
87.2,-1.049,-1.11,0.624,0.606,1.673,1.716
88.0,-1.04,-1.101,0.622,0.605,1.662,1.706
88.8,-1.022,-1.087,0.626,0.611,1.648,1.698
89.6,-1.017,-1.085,0.634,0.619,1.652,1.704
90.4,-1.017,-1.086,0.64,0.625,1.658,1.711
91.2,-1.018,-1.086,0.644,0.628,1.662,1.714
92.0,-1.02,-1.089,0.646,0.63,1.666,1.719
92.8,-1.025,-1.093,0.648,0.633,1.673,1.725
93.6,-1.032,-1.099,0.649,0.632,1.681,1.731
94.4,-1.044,-1.108,0.651,0.634,1.694,1.742
95.2,-1.056,-1.117,0.645,0.627,1.701,1.744
96.0,-1.051,-1.114,0.64,0.622,1.691,1.736
96.8,-1.026,-1.093,0.635,0.621,1.661,1.713
97.6,-1.017,-1.087,0.647,0.633,1.664,1.72
98.4,-1.017,-1.086,0.657,0.643,1.673,1.729
99.2,-1.021,-1.09,0.662,0.647,1.683,1.737
100.0,-1.031,-1.099,0.664,0.648,1.695,1.747
100.8,-1.038,-1.105,0.662,0.646,1.7,1.751
101.6,-1.042,-1.108,0.659,0.642,1.701,1.751
102.4,-1.043,-1.108,0.659,0.643,1.702,1.751
103.2,-1.057,-1.12,0.662,0.644,1.72,1.764
104.0,-1.056,-1.12,0.656,0.638,1.712,1.758
104.8,-1.044,-1.109,0.651,0.635,1.695,1.744
105.6,-1.027,-1.095,0.659,0.645,1.686,1.739
106.4,-1.023,-1.09,0.667,0.654,1.69,1.744
107.2,-1.023,-1.09,0.673,0.659,1.696,1.749
108.0,-1.025,-1.092,0.676,0.663,1.7,1.755
108.8,-1.026,-1.094,0.678,0.665,1.704,1.759
109.6,-1.031,-1.1,0.681,0.666,1.711,1.765
110.4,-1.038,-1.105,0.68,0.665,1.719,1.77
111.2,-1.054,-1.118,0.683,0.666,1.737,1.784
112.0,-1.063,-1.125,0.673,0.655,1.736,1.781
112.8,-1.057,-1.122,0.668,0.65,1.725,1.772
113.6,-1.031,-1.099,0.666,0.653,1.697,1.752
114.4,-1.022,-1.09,0.679,0.667,1.701,1.758
115.2,-1.022,-1.09,0.688,0.677,1.71,1.767
116.0,-1.028,-1.096,0.692,0.68,1.72,1.776
116.8,-1.039,-1.106,0.693,0.679,1.732,1.785
117.6,-1.045,-1.112,0.69,0.675,1.735,1.787
118.4,-1.048,-1.113,0.687,0.672,1.735,1.786
119.2,-1.05,-1.114,0.687,0.673,1.737,1.787
120.0,-1.064,-1.126,0.688,0.671,1.752,1.797
120.8,-1.061,-1.124,0.683,0.666,1.744,1.79
121.6,-1.043,-1.108,0.677,0.663,1.72,1.772
122.4,-1.029,-1.096,0.688,0.677,1.717,1.773
123.2,-1.025,-1.091,0.696,0.688,1.721,1.779
124.0,-1.024,-1.09,0.701,0.693,1.725,1.783
124.8,-1.028,-1.093,0.704,0.696,1.732,1.789
125.6,-1.031,-1.096,0.705,0.697,1.737,1.793
126.4,-1.037,-1.102,0.706,0.696,1.743,1.798
127.2,-1.043,-1.109,0.706,0.694,1.749,1.803
128.0,-1.064,-1.126,0.709,0.694,1.773,1.821
128.8,-1.068,-1.13,0.696,0.68,1.764,1.811
129.6,-1.058,-1.121,0.691,0.676,1.749,1.797
130.4,-1.032,-1.095,0.693,0.686,1.725,1.781
131.2,-1.024,-1.087,0.706,0.701,1.73,1.788
132.0,-1.026,-1.089,0.714,0.71,1.74,1.799
132.8,-1.034,-1.096,0.718,0.713,1.752,1.808
133.6,-1.044,-1.106,0.717,0.709,1.761,1.815
134.4,-1.05,-1.111,0.714,0.704,1.764,1.815
135.2,-1.052,-1.113,0.711,0.701,1.763,1.814
136.0,-1.056,-1.116,0.712,0.701,1.768,1.818
136.8,-1.068,-1.128,0.71,0.696,1.778,1.824
137.6,-1.063,-1.124,0.705,0.692,1.768,1.816
138.4,-1.041,-1.103,0.701,0.693,1.742,1.796
139.2,-1.031,-1.091,0.713,0.71,1.744,1.801
140.0,-1.028,-1.087,0.721,0.721,1.75,1.807
140.8,-1.028,-1.086,0.725,0.726,1.753,1.811
141.6,-1.031,-1.088,0.728,0.729,1.759,1.816
142.4,-1.033,-1.092,0.729,0.729,1.763,1.821
