t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.01,-0.011,0.0,0.0,0.01,0.011
0.8,-0.017,-0.02,0.001,0.001,0.018,0.021
1.6,-0.019,-0.022,0.001,0.001,0.02,0.023
2.4,-0.019,-0.022,0.001,0.001,0.02,0.024
3.2,-0.019,-0.022,0.001,0.001,0.02,0.024
4.0,-0.02,-0.022,0.001,0.001,0.021,0.023
4.8,-0.02,-0.022,0.001,0.001,0.021,0.023
5.6,-0.02,-0.021,0.001,0.001,0.021,0.023
6.4,-0.019,-0.022,0.001,0.001,0.02,0.023
7.2,-0.019,-0.022,0.001,0.001,0.02,0.023
8.0,-0.019,-0.022,0.001,0.001,0.02,0.023
8.8,-0.019,-0.022,0.001,0.001,0.02,0.023
9.6,-0.019,-0.022,0.001,0.001,0.02,0.023
10.4,-0.019,-0.022,0.001,0.001,0.02,0.023
11.2,-0.019,-0.022,0.001,0.001,0.02,0.023
12.0,-0.019,-0.022,0.001,0.001,0.02,0.023
12.8,-0.019,-0.022,0.001,0.001,0.021,0.023
13.6,-0.02,-0.022,0.001,0.001,0.021,0.023
14.4,-0.02,-0.022,0.001,0.001,0.021,0.023
15.2,-0.019,-0.022,0.001,0.001,0.02,0.023
16.0,-0.019,-0.023,0.001,0.001,0.02,0.024
16.8,-0.019,-0.023,0.001,0.001,0.02,0.023
17.6,-0.019,-0.023,0.001,0.001,0.02,0.024
18.4,-0.019,-0.022,0.001,0.001,0.02,0.024
19.2,-0.019,-0.022,0.001,0.001,0.02,0.024
20.0,-0.019,-0.022,0.001,0.001,0.02,0.024
20.8,-0.019,-0.022,0.001,0.001,0.02,0.024
21.6,-0.019,-0.022,0.001,0.001,0.02,0.023
22.4,-0.019,-0.022,0.001,0.001,0.02,0.023
23.2,-0.019,-0.022,0.001,0.001,0.02,0.023
24.0,-0.019,-0.023,0.001,0.001,0.02,0.024
24.8,-0.02,-0.023,0.001,0.001,0.021,0.023
25.6,-0.02,-0.022,0.001,0.001,0.021,0.023
26.4,-0.02,-0.022,0.001,0.001,0.021,0.023
27.2,-0.019,-0.022,0.001,0.001,0.02,0.023
28.0,-0.018,-0.019,0.002,0.004,0.02,0.023
28.8,-0.018,-0.019,0.002,0.005,0.02,0.024
29.6,-0.019,-0.02,0.002,0.004,0.021,0.024
30.4,-0.019,-0.022,0.001,0.002,0.02,0.024
31.2,-0.019,-0.023,0.001,0.001,0.02,0.024
32.0,-0.02,-0.022,0.001,0.001,0.021,0.023
32.8,-0.019,-0.022,0.001,0.001,0.02,0.023
33.6,-0.019,-0.022,0.001,0.001,0.02,0.023
34.4,-0.019,-0.022,0.001,0.001,0.02,0.023
35.2,-0.019,-0.022,0.001,0.001,0.02,0.024
36.0,-0.019,-0.022,0.001,0.001,0.02,0.024
36.8,-0.019,-0.022,0.001,0.001,0.02,0.024
37.6,-0.019,-0.022,0.001,0.001,0.021,0.023
38.4,-0.02,-0.022,0.001,0.001,0.021,0.024
39.2,-0.019,-0.022,0.001,0.001,0.021,0.023
40.0,-0.019,-0.022,0.001,0.001,0.02,0.023
40.8,-0.019,-0.022,0.001,0.001,0.02,0.022
41.6,-0.019,-0.022,0.001,0.001,0.02,0.023
42.4,-0.02,-0.022,0.001,0.001,0.02,0.023
43.2,-0.019,-0.022,0.001,0.001,0.02,0.023
44.0,-0.019,-0.022,0.001,0.001,0.02,0.023
44.8,-0.02,-0.023,0.001,0.001,0.021,0.024
45.6,-0.114,-0.058,0.81,0.972,0.924,1.03
46.4,-0.414,-0.135,2.929,3.405,3.343,3.541
47.2,-0.704,-0.232,5.038,5.805,5.742,6.037
48.0,-0.742,-0.24,5.282,6.025,6.024,6.265
48.8,-0.719,-0.259,5.26,5.983,5.979,6.242
49.6,-0.693,-0.271,5.243,5.947,5.936,6.218
50.4,-0.661,-0.292,5.2,5.88,5.861,6.173
51.2,-0.645,-0.303,5.174,5.847,5.819,6.15
52.0,-0.643,-0.302,5.176,5.853,5.819,6.155
52.8,-0.679,-0.281,5.207,5.907,5.886,6.188
53.6,-0.685,-0.27,5.204,5.911,5.888,6.181
54.4,-0.655,-0.285,5.13,5.822,5.784,6.107
55.2,-0.536,-0.249,3.94,4.59,4.476,4.839
56.0,-0.502,-0.282,2.247,2.758,2.75,3.039
56.8,-0.59,-0.386,0.926,1.26,1.515,1.646
57.6,-0.638,-0.506,0.814,1.034,1.452,1.54
58.4,-0.638,-0.561,0.784,0.923,1.422,1.485
59.2,-0.634,-0.59,0.776,0.865,1.41,1.455
60.0,-0.638,-0.606,0.772,0.835,1.41,1.441
60.8,-0.641,-0.616,0.769,0.815,1.411,1.431
61.6,-0.64,-0.618,0.766,0.805,1.407,1.423
62.4,-0.636,-0.618,0.764,0.797,1.399,1.415
63.2,-0.633,-0.617,0.767,0.794,1.401,1.411
64.0,-0.631,-0.619,0.768,0.791,1.4,1.41
64.8,-0.623,-0.613,0.767,0.789,1.39,1.401
65.6,-0.606,-0.596,0.762,0.791,1.368,1.386
66.4,-0.593,-0.583,0.767,0.796,1.36,1.379
67.2,-0.586,-0.576,0.773,0.801,1.359,1.377
68.0,-0.581,-0.573,0.777,0.805,1.358,1.379
68.8,-0.582,-0.577,0.783,0.805,1.364,1.381
