t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.011,0.0,0.0,0.01,0.012
0.8,-0.017,-0.02,0.001,0.001,0.018,0.021
1.6,-0.019,-0.022,0.001,0.001,0.02,0.023
2.4,-0.019,-0.023,0.001,0.001,0.02,0.024
3.2,-0.019,-0.023,0.001,0.001,0.02,0.024
4.0,-0.019,-0.022,0.001,0.001,0.02,0.023
4.8,-0.019,-0.022,0.001,0.001,0.021,0.023
5.6,-0.019,-0.022,0.001,0.002,0.021,0.023
6.4,-0.019,-0.023,0.001,0.001,0.021,0.024
7.2,-0.019,-0.023,0.001,0.001,0.02,0.024
8.0,-0.019,-0.023,0.001,0.001,0.02,0.024
8.8,-0.019,-0.022,0.001,0.001,0.02,0.023
9.6,-0.019,-0.022,0.001,0.001,0.02,0.023
10.4,-0.019,-0.022,0.001,0.001,0.02,0.023
11.2,-0.019,-0.022,0.001,0.001,0.02,0.023
12.0,-0.019,-0.022,0.001,0.001,0.02,0.023
12.8,-0.019,-0.022,0.001,0.001,0.02,0.024
13.6,-0.019,-0.022,0.001,0.002,0.02,0.023
14.4,-0.019,-0.022,0.001,0.002,0.02,0.023
15.2,-0.019,-0.022,0.001,0.001,0.02,0.024
16.0,-0.019,-0.023,0.001,0.001,0.02,0.024
16.8,-0.019,-0.023,0.001,0.001,0.02,0.024
17.6,-0.019,-0.023,0.001,0.001,0.02,0.024
18.4,-0.019,-0.023,0.001,0.001,0.02,0.024
19.2,-0.019,-0.022,0.001,0.001,0.02,0.023
20.0,-0.019,-0.022,0.001,0.001,0.02,0.024
20.8,-0.019,-0.022,0.001,0.001,0.02,0.023
21.6,-0.019,-0.022,0.001,0.001,0.02,0.023
22.4,-0.019,-0.022,0.001,0.002,0.021,0.024
23.2,-0.019,-0.022,0.001,0.001,0.021,0.024
24.0,-0.019,-0.023,0.001,0.001,0.02,0.024
24.8,-0.019,-0.023,0.001,0.001,0.02,0.024
25.6,-0.019,-0.023,0.001,0.001,0.02,0.024
26.4,-0.019,-0.023,0.001,0.001,0.02,0.023
27.2,-0.019,-0.022,0.001,0.001,0.02,0.023
28.0,-0.016,-0.02,0.004,0.003,0.021,0.023
28.8,-0.015,-0.02,0.006,0.004,0.021,0.024
29.6,-0.018,-0.021,0.003,0.003,0.021,0.024
30.4,-0.018,-0.022,0.002,0.002,0.02,0.023
31.2,-0.019,-0.022,0.001,0.001,0.02,0.024
32.0,-0.019,-0.023,0.001,0.001,0.02,0.024
32.8,-0.019,-0.023,0.001,0.001,0.02,0.024
33.6,-0.019,-0.023,0.001,0.001,0.02,0.024
34.4,-0.019,-0.023,0.001,0.001,0.02,0.024
35.2,-0.019,-0.023,0.001,0.001,0.02,0.024
36.0,-0.019,-0.023,0.001,0.001,0.02,0.024
36.8,-0.019,-0.023,0.001,0.001,0.021,0.024
37.6,-0.02,-0.023,0.001,0.001,0.021,0.024
38.4,-0.019,-0.022,0.001,0.001,0.02,0.023
39.2,-0.019,-0.021,0.001,0.001,0.02,0.023
40.0,-0.019,-0.021,0.001,0.001,0.02,0.022
40.8,-0.02,-0.022,0.001,0.001,0.021,0.023
41.6,-0.019,-0.022,0.001,0.001,0.02,0.023
42.4,-0.019,-0.023,0.001,0.001,0.02,0.023
43.2,-0.019,-0.022,0.001,0.001,0.02,0.023
44.0,-0.018,-0.022,0.001,0.001,0.019,0.023
44.8,-0.018,-0.022,0.001,0.001,0.02,0.023
45.6,-0.101,-0.061,0.713,0.858,0.814,0.919
46.4,-0.438,-0.114,2.873,3.374,3.311,3.488
47.2,-0.766,-0.173,5.033,5.869,5.799,6.042
48.0,-0.799,-0.199,5.38,6.178,6.179,6.378
48.8,-0.683,-0.279,5.223,5.924,5.906,6.203
49.6,-0.602,-0.245,3.833,4.559,4.435,4.804
50.4,-0.572,-0.303,2.079,2.685,2.651,2.988
51.2,-0.633,-0.442,0.902,1.284,1.536,1.725
52.0,-0.641,-0.545,0.872,1.089,1.513,1.633
52.8,-0.631,-0.57,0.882,1.018,1.514,1.588
53.6,-0.632,-0.577,0.887,0.987,1.519,1.565
54.4,-0.639,-0.586,0.885,0.968,1.524,1.554
55.2,-0.65,-0.593,0.888,0.962,1.538,1.555
56.0,-0.655,-0.6,0.886,0.954,1.54,1.554
56.8,-0.655,-0.606,0.875,0.94,1.53,1.546
57.6,-0.651,-0.61,0.854,0.918,1.505,1.528
58.4,-0.653,-0.614,0.848,0.911,1.501,1.525
59.2,-0.654,-0.616,0.85,0.912,1.504,1.528
60.0,-0.658,-0.618,0.856,0.916,1.514,1.534
60.8,-0.662,-0.62,0.863,0.921,1.525,1.541
61.6,-0.664,-0.62,0.866,0.924,1.53,1.544
62.4,-0.665,-0.623,0.866,0.923,1.531,1.545
63.2,-0.666,-0.625,0.867,0.923,1.533,1.548
64.0,-0.67,-0.627,0.875,0.93,1.545,1.557
64.8,-0.669,-0.626,0.872,0.927,1.541,1.553
65.6,-0.662,-0.624,0.859,0.917,1.521,1.541
66.4,-0.659,-0.624,0.853,0.91,1.512,1.533
67.2,-0.657,-0.622,0.854,0.912,1.511,1.534
68.0,-0.657,-0.622,0.857,0.915,1.514,1.537
68.8,-0.659,-0.623,0.863,0.92,1.522,1.543
69.6,-0.661,-0.624,0.868,0.924,1.529,1.548
70.4,-0.663,-0.626,0.872,0.926,1.535,1.553
71.2,-0.666,-0.627,0.875,0.929,1.541,1.556
72.0,-0.671,-0.628,0.885,0.938,1.556,1.567
72.8,-0.671,-0.63,0.885,0.937,1.556,1.566
73.6,-0.666,-0.628,0.878,0.932,1.543,1.56
74.4,-0.658,-0.623,0.866,0.922,1.524,1.545
75.2,-0.655,-0.622,0.864,0.921,1.519,1.543
76.0,-0.655,-0.621,0.869,0.925,1.525,1.546
76.8,-0.658,-0.623,0.876,0.932,1.534,1.554
77.6,-0.661,-0.623,0.884,0.939,1.546,1.562
78.4,-0.662,-0.625,0.886,0.94,1.548,1.566
79.2,-0.663,-0.624,0.887,0.94,1.55,1.565
80.0,-0.664,-0.626,0.89,0.944,1.555,1.569
80.8,-0.668,-0.628,0.897,0.948,1.565,1.576
81.6,-0.666,-0.627,0.894,0.946,1.56,1.573
82.4,-0.657,-0.622,0.881,0.936,1.538,1.559
83.2,-0.653,-0.618,0.878,0.935,1.531,1.553
84.0,-0.652,-0.618,0.88,0.937,1.532,1.555
84.8,-0.651,-0.616,0.884,0.941,1.535,1.557
85.6,-0.654,-0.617,0.89,0.945,1.544,1.563
86.4,-0.656,-0.619,0.894,0.949,1.55,1.568
87.2,-0.657,-0.619,0.898,0.953,1.554,1.572
88.0,-0.659,-0.619,0.901,0.956,1.559,1.575
88.8,-0.665,-0.622,0.911,0.964,1.576,1.586
89.6,-0.663,-0.621,0.909,0.963,1.573,1.584
90.4,-0.658,-0.619,0.9,0.955,1.558,1.574
91.2,-0.651,-0.615,0.89,0.947,1.541,1.562
92.0,-0.646,-0.612,0.889,0.947,1.536,1.559
92.8,-0.646,-0.612,0.895,0.953,1.54,1.564
93.6,-0.649,-0.613,0.902,0.958,1.551,1.571
94.4,-0.653,-0.614,0.908,0.964,1.561,1.578
95.2,-0.654,-0.616,0.91,0.965,1.564,1.58
96.0,-0.655,-0.615,0.911,0.965,1.565,1.58
96.8,-0.657,-0.615,0.916,0.97,1.573,1.585
97.6,-0.659,-0.617,0.919,0.972,1.578,1.589
98.4,-0.656,-0.615,0.914,0.968,1.571,1.584
99.2,-0.647,-0.61,0.901,0.96,1.548,1.57
100.0,-0.643,-0.607,0.899,0.959,1.543,1.566
100.8,-0.642,-0.606,0.902,0.962,1.544,1.568
101.6,-0.642,-0.605,0.906,0.965,1.548,1.57
