t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.011,0.0,0.001,0.01,0.012
0.8,-0.018,-0.02,0.001,0.001,0.018,0.021
1.6,-0.019,-0.022,0.001,0.001,0.02,0.023
2.4,-0.019,-0.022,0.001,0.001,0.02,0.023
3.2,-0.019,-0.021,0.001,0.001,0.02,0.022
4.0,-0.019,-0.022,0.001,0.001,0.02,0.023
4.8,-0.019,-0.022,0.001,0.001,0.02,0.023
5.6,-0.019,-0.022,0.001,0.001,0.02,0.023
6.4,-0.019,-0.022,0.001,0.001,0.02,0.023
7.2,-0.019,-0.022,0.001,0.001,0.02,0.023
8.0,-0.019,-0.021,0.001,0.001,0.02,0.023
8.8,-0.019,-0.021,0.001,0.001,0.02,0.023
9.6,-0.019,-0.021,0.001,0.001,0.02,0.023
10.4,-0.019,-0.022,0.001,0.001,0.02,0.023
11.2,-0.02,-0.022,0.001,0.001,0.021,0.023
12.0,-0.019,-0.022,0.001,0.001,0.02,0.022
12.8,-0.02,-0.022,0.001,0.001,0.021,0.022
13.6,-0.019,-0.022,0.001,0.001,0.02,0.023
14.4,-0.019,-0.022,0.001,0.001,0.02,0.023
15.2,-0.019,-0.022,0.001,0.001,0.02,0.023
16.0,-0.019,-0.022,0.001,0.001,0.02,0.023
16.8,-0.019,-0.021,0.001,0.001,0.02,0.023
17.6,-0.019,-0.021,0.001,0.001,0.02,0.023
18.4,-0.019,-0.021,0.001,0.001,0.02,0.022
19.2,-0.019,-0.022,0.001,0.001,0.02,0.023
20.0,-0.02,-0.022,0.001,0.001,0.021,0.023
20.8,-0.019,-0.022,0.001,0.001,0.02,0.023
21.6,-0.019,-0.022,0.001,0.001,0.02,0.023
22.4,-0.019,-0.021,0.001,0.001,0.02,0.023
23.2,-0.019,-0.022,0.001,0.001,0.02,0.023
24.0,-0.019,-0.022,0.001,0.001,0.02,0.023
24.8,-0.019,-0.022,0.001,0.001,0.02,0.023
25.6,-0.018,-0.021,0.002,0.002,0.02,0.023
26.4,-0.018,-0.02,0.003,0.003,0.02,0.023
27.2,-0.018,-0.021,0.003,0.003,0.021,0.023
28.0,-0.019,-0.022,0.001,0.001,0.021,0.023
28.8,-0.02,-0.022,0.001,0.001,0.021,0.023
29.6,-0.019,-0.022,0.001,0.001,0.02,0.023
30.4,-0.019,-0.022,0.001,0.001,0.02,0.023
31.2,-0.019,-0.022,0.001,0.001,0.02,0.023
32.0,-0.019,-0.022,0.001,0.001,0.02,0.023
32.8,-0.019,-0.022,0.001,0.001,0.02,0.023
33.6,-0.019,-0.022,0.001,0.002,0.02,0.023
34.4,-0.019,-0.022,0.001,0.001,0.02,0.023
35.2,-0.02,-0.021,0.001,0.001,0.021,0.023
36.0,-0.019,-0.022,0.001,0.001,0.02,0.023
36.8,-0.019,-0.022,0.001,0.001,0.02,0.023
37.6,-0.019,-0.023,0.001,0.001,0.02,0.023
38.4,-0.019,-0.023,0.001,0.001,0.02,0.024
39.2,-0.019,-0.023,0.001,0.001,0.02,0.024
40.0,-0.019,-0.022,0.001,0.001,0.02,0.023
40.8,-0.019,-0.021,0.001,0.001,0.02,0.022
41.6,-0.019,-0.022,0.001,0.002,0.02,0.023
42.4,-0.019,-0.022,0.001,0.002,0.02,0.023
43.2,-0.059,-0.047,0.438,0.537,0.498,0.584
44.0,-0.248,-0.311,1.986,2.241,2.234,2.552
44.8,-0.532,-0.586,2.489,2.809,3.021,3.395
45.6,-0.68,-0.796,1.432,1.538,2.113,2.334
46.4,-0.828,-0.768,1.15,1.291,1.978,2.059
47.2,-0.862,-0.799,1.117,1.244,1.979,2.043
48.0,-0.877,-0.814,1.107,1.225,1.984,2.04
48.8,-0.879,-0.82,1.107,1.22,1.986,2.04
49.6,-0.874,-0.819,1.114,1.225,1.989,2.044
50.4,-0.879,-0.833,1.124,1.223,2.003,2.055
51.2,-0.875,-0.833,1.124,1.218,1.999,2.051
52.0,-0.862,-0.819,1.134,1.232,1.996,2.05
52.8,-0.835,-0.779,1.159,1.276,1.994,2.055
53.6,-0.825,-0.764,1.175,1.298,1.999,2.062
54.4,-0.821,-0.758,1.186,1.312,2.007,2.071
55.2,-0.818,-0.754,1.198,1.326,2.016,2.08
56.0,-0.817,-0.754,1.206,1.332,2.023,2.086
56.8,-0.819,-0.757,1.215,1.337,2.034,2.095
57.6,-0.823,-0.765,1.22,1.337,2.042,2.102
58.4,-0.828,-0.774,1.227,1.338,2.055,2.112
59.2,-0.841,-0.795,1.222,1.319,2.063,2.115
60.0,-0.834,-0.785,1.232,1.335,2.066,2.12
60.8,-0.808,-0.741,1.247,1.376,2.055,2.117
61.6,-0.796,-0.716,1.272,1.417,2.068,2.133
62.4,-0.793,-0.707,1.288,1.439,2.08,2.146
63.2,-0.796,-0.71,1.296,1.445,2.092,2.155
64.0,-0.806,-0.725,1.301,1.442,2.106,2.166
64.8,-0.813,-0.735,1.302,1.436,2.116,2.171
65.6,-0.815,-0.738,1.307,1.438,2.121,2.176
66.4,-0.813,-0.735,1.315,1.449,2.129,2.184
67.2,-0.821,-0.749,1.322,1.447,2.143,2.195
68.0,-0.819,-0.743,1.326,1.454,2.145,2.197
68.8,-0.809,-0.725,1.335,1.474,2.144,2.2
69.6,-0.794,-0.694,1.357,1.517,2.151,2.211
70.4,-0.789,-0.679,1.371,1.541,2.16,2.22
71.2,-0.789,-0.675,1.381,1.554,2.17,2.229
72.0,-0.789,-0.673,1.389,1.565,2.179,2.238
72.8,-0.791,-0.674,1.396,1.571,2.188,2.245
73.6,-0.796,-0.679,1.402,1.573,2.198,2.253
74.4,-0.802,-0.689,1.405,1.569,2.207,2.258
75.2,-0.811,-0.705,1.41,1.564,2.221,2.27
76.0,-0.817,-0.719,1.405,1.549,2.222,2.269
76.8,-0.812,-0.707,1.411,1.566,2.223,2.272
77.6,-0.792,-0.665,1.428,1.61,2.22,2.275
78.4,-0.784,-0.644,1.446,1.643,2.23,2.287
79.2,-0.783,-0.639,1.459,1.66,2.242,2.299
80.0,-0.788,-0.645,1.465,1.661,2.253,2.306
