t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.011,0.001,0.001,0.01,0.012
0.8,-0.017,-0.02,0.001,0.002,0.018,0.022
1.6,-0.019,-0.022,0.001,0.002,0.02,0.024
2.4,-0.019,-0.022,0.001,0.001,0.02,0.024
3.2,-0.019,-0.023,0.001,0.001,0.02,0.024
4.0,-0.019,-0.023,0.001,0.001,0.02,0.024
4.8,-0.019,-0.023,0.001,0.001,0.02,0.024
5.6,-0.019,-0.023,0.001,0.001,0.02,0.024
6.4,-0.018,-0.023,0.001,0.001,0.02,0.024
7.2,-0.019,-0.023,0.001,0.001,0.02,0.024
8.0,-0.019,-0.022,0.001,0.001,0.02,0.024
8.8,-0.019,-0.022,0.001,0.002,0.02,0.023
9.6,-0.019,-0.021,0.001,0.002,0.021,0.023
10.4,-0.019,-0.022,0.001,0.002,0.02,0.023
11.2,-0.019,-0.022,0.001,0.001,0.021,0.023
12.0,-0.019,-0.023,0.001,0.001,0.021,0.024
12.8,-0.019,-0.023,0.001,0.001,0.02,0.024
13.6,-0.019,-0.023,0.001,0.001,0.02,0.024
14.4,-0.019,-0.022,0.001,0.001,0.02,0.023
15.2,-0.019,-0.022,0.001,0.001,0.02,0.023
16.0,-0.019,-0.022,0.001,0.001,0.02,0.023
16.8,-0.02,-0.021,0.001,0.002,0.021,0.023
17.6,-0.019,-0.021,0.001,0.002,0.021,0.023
18.4,-0.019,-0.021,0.001,0.002,0.02,0.023
19.2,-0.019,-0.022,0.001,0.001,0.02,0.023
20.0,-0.019,-0.023,0.001,0.001,0.02,0.024
20.8,-0.019,-0.023,0.001,0.001,0.02,0.023
21.6,-0.019,-0.022,0.001,0.001,0.02,0.023
22.4,-0.019,-0.022,0.001,0.001,0.02,0.023
23.2,-0.019,-0.023,0.001,0.001,0.02,0.024
24.0,-0.019,-0.023,0.001,0.001,0.02,0.024
24.8,-0.019,-0.022,0.001,0.001,0.021,0.023
25.6,-0.019,-0.022,0.001,0.002,0.02,0.024
26.4,-0.019,-0.022,0.001,0.002,0.021,0.023
27.2,-0.019,-0.022,0.001,0.002,0.02,0.024
28.0,-0.019,-0.022,0.002,0.002,0.02,0.024
28.8,-0.018,-0.021,0.002,0.002,0.02,0.024
29.6,-0.018,-0.022,0.002,0.002,0.02,0.024
30.4,-0.019,-0.023,0.001,0.001,0.02,0.024
31.2,-0.019,-0.023,0.001,0.001,0.02,0.024
32.0,-0.019,-0.023,0.001,0.001,0.02,0.024
32.8,-0.019,-0.022,0.001,0.001,0.02,0.024
33.6,-0.019,-0.022,0.001,0.002,0.02,0.023
34.4,-0.019,-0.022,0.001,0.002,0.02,0.024
35.2,-0.019,-0.022,0.001,0.002,0.02,0.024
