t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.01,-0.011,0.0,0.001,0.011,0.012
0.8,-0.019,-0.02,0.001,0.001,0.019,0.021
1.6,-0.02,-0.022,0.001,0.001,0.021,0.023
2.4,-0.02,-0.022,0.001,0.001,0.021,0.023
3.2,-0.019,-0.022,0.001,0.002,0.02,0.023
4.0,-0.019,-0.022,0.001,0.002,0.02,0.023
4.8,-0.019,-0.022,0.001,0.001,0.02,0.023
5.6,-0.019,-0.022,0.001,0.001,0.02,0.023
6.4,-0.019,-0.022,0.001,0.001,0.02,0.022
7.2,-0.019,-0.022,0.001,0.001,0.02,0.023
8.0,-0.019,-0.023,0.001,0.001,0.02,0.023
8.8,-0.019,-0.023,0.001,0.001,0.02,0.023
9.6,-0.019,-0.022,0.001,0.001,0.02,0.023
10.4,-0.019,-0.021,0.001,0.001,0.02,0.023
11.2,-0.019,-0.021,0.001,0.002,0.02,0.023
12.0,-0.019,-0.021,0.001,0.002,0.02,0.022
12.8,-0.02,-0.021,0.001,0.001,0.021,0.023
13.6,-0.02,-0.022,0.001,0.001,0.021,0.023
14.4,-0.02,-0.022,0.001,0.001,0.021,0.023
15.2,-0.019,-0.022,0.001,0.001,0.02,0.022
16.0,-0.019,-0.021,0.001,0.001,0.02,0.022
16.8,-0.019,-0.021,0.001,0.001,0.02,0.022
17.6,-0.019,-0.021,0.001,0.001,0.02,0.022
18.4,-0.019,-0.022,0.001,0.001,0.02,0.023
19.2,-0.019,-0.022,0.001,0.001,0.02,0.023
20.0,-0.019,-0.021,0.001,0.001,0.02,0.023
20.8,-0.019,-0.021,0.001,0.001,0.02,0.023
21.6,-0.019,-0.022,0.001,0.001,0.02,0.023
22.4,-0.018,-0.022,0.001,0.001,0.019,0.023
23.2,-0.019,-0.023,0.001,0.001,0.02,0.024
24.0,-0.02,-0.023,0.001,0.001,0.021,0.023
24.8,-0.02,-0.022,0.001,0.001,0.021,0.023
25.6,-0.019,-0.022,0.001,0.001,0.02,0.022
26.4,-0.018,-0.022,0.002,0.001,0.02,0.023
27.2,-0.017,-0.019,0.003,0.004,0.02,0.023
28.0,-0.017,-0.019,0.003,0.004,0.021,0.024
28.8,-0.018,-0.019,0.002,0.004,0.02,0.023
29.6,-0.019,-0.021,0.001,0.001,0.02,0.023
30.4,-0.02,-0.021,0.001,0.001,0.021,0.022
31.2,-0.02,-0.022,0.001,0.001,0.021,0.023
32.0,-0.019,-0.022,0.001,0.001,0.02,0.023
32.8,-0.019,-0.021,0.001,0.001,0.02,0.022
33.6,-0.019,-0.021,0.001,0.001,0.02,0.022
34.4,-0.019,-0.021,0.001,0.001,0.02,0.022
35.2,-0.019,-0.021,0.001,0.001,0.02,0.023
36.0,-0.019,-0.022,0.001,0.001,0.02,0.023
36.8,-0.02,-0.021,0.001,0.001,0.021,0.023
37.6,-0.02,-0.021,0.001,0.001,0.021,0.023
38.4,-0.02,-0.022,0.001,0.001,0.021,0.023
39.2,-0.02,-0.022,0.001,0.001,0.02,0.023
40.0,-0.019,-0.023,0.001,0.001,0.02,0.023
40.8,-0.019,-0.023,0.001,0.001,0.02,0.023
41.6,-0.019,-0.023,0.001,0.001,0.02,0.024
42.4,-0.02,-0.022,0.001,0.001,0.02,0.023
43.2,-0.019,-0.022,0.001,0.001,0.02,0.023
44.0,-0.019,-0.022,0.001,0.001,0.02,0.024
44.8,-0.182,-0.178,1.253,1.451,1.435,1.629
45.6,-0.448,-0.405,1.787,2.046,2.234,2.452
46.4,-0.687,-0.619,1.927,2.148,2.614,2.767
47.2,-0.711,-0.624,1.368,1.514,2.079,2.138
48.0,-0.72,-0.618,1.362,1.526,2.081,2.144
48.8,-0.721,-0.61,1.367,1.541,2.088,2.151
49.6,-0.717,-0.604,1.378,1.555,2.095,2.159
50.4,-0.715,-0.603,1.39,1.566,2.105,2.17
51.2,-0.713,-0.603,1.402,1.576,2.115,2.179
52.0,-0.715,-0.608,1.412,1.58,2.127,2.188
52.8,-0.718,-0.614,1.422,1.583,2.14,2.197
53.6,-0.725,-0.632,1.429,1.577,2.154,2.209
54.4,-0.72,-0.627,1.44,1.588,2.16,2.215
55.2,-0.708,-0.603,1.456,1.621,2.164,2.223
56.0,-0.693,-0.563,1.485,1.677,2.177,2.241
56.8,-0.686,-0.546,1.506,1.711,2.193,2.257
57.6,-0.685,-0.545,1.522,1.727,2.208,2.272
58.4,-0.687,-0.552,1.535,1.734,2.222,2.286
59.2,-0.691,-0.562,1.543,1.731,2.234,2.294
60.0,-0.693,-0.569,1.554,1.736,2.247,2.305
60.8,-0.691,-0.565,1.566,1.749,2.257,2.315
61.6,-0.691,-0.567,1.58,1.761,2.271,2.328
62.4,-0.692,-0.571,1.588,1.763,2.28,2.334
63.2,-0.687,-0.561,1.603,1.785,2.289,2.346
64.0,-0.676,-0.527,1.622,1.833,2.298,2.36
64.8,-0.671,-0.508,1.644,1.87,2.314,2.378
65.6,-0.669,-0.499,1.661,1.895,2.33,2.394
66.4,-0.668,-0.498,1.675,1.908,2.343,2.406
67.2,-0.669,-0.501,1.686,1.915,2.355,2.416
68.0,-0.669,-0.505,1.696,1.921,2.365,2.426
68.8,-0.671,-0.514,1.705,1.921,2.376,2.435
69.6,-0.672,-0.521,1.714,1.922,2.386,2.443
70.4,-0.674,-0.537,1.72,1.912,2.394,2.449
71.2,-0.673,-0.529,1.729,1.928,2.403,2.457
72.0,-0.669,-0.504,1.741,1.962,2.409,2.466
72.8,-0.663,-0.475,1.763,2.01,2.425,2.485
73.6,-0.66,-0.461,1.78,2.04,2.44,2.501
74.4,-0.661,-0.465,1.792,2.047,2.452,2.512
75.2,-0.663,-0.48,1.8,2.041,2.463,2.521
76.0,-0.664,-0.494,1.805,2.031,2.469,2.525
76.8,-0.666,-0.499,1.811,2.032,2.477,2.531
77.6,-0.665,-0.497,1.819,2.04,2.485,2.537
78.4,-0.665,-0.505,1.83,2.043,2.496,2.547
79.2,-0.667,-0.504,1.835,2.046,2.502,2.55
80.0,-0.666,-0.491,1.844,2.067,2.51,2.558
80.8,-0.663,-0.461,1.86,2.112,2.523,2.573
81.6,-0.662,-0.446,1.873,2.14,2.536,2.586
82.4,-0.663,-0.442,1.885,2.155,2.548,2.597
83.2,-0.662,-0.443,1.895,2.163,2.558,2.606
84.0,-0.663,-0.447,1.902,2.164,2.566,2.611
84.8,-0.663,-0.452,1.91,2.165,2.573,2.618
85.6,-0.666,-0.458,1.915,2.164,2.581,2.622
86.4,-0.666,-0.467,1.921,2.159,2.586,2.626
87.2,-0.667,-0.478,1.923,2.15,2.59,2.628
88.0,-0.667,-0.472,1.931,2.163,2.597,2.635
88.8,-0.669,-0.443,1.937,2.199,2.606,2.642
89.6,-0.667,-0.421,1.953,2.238,2.62,2.659
90.4,-0.669,-0.41,1.965,2.262,2.634,2.671
91.2,-0.669,-0.416,1.973,2.262,2.642,2.677
92.0,-0.67,-0.43,1.978,2.249,2.648,2.679
92.8,-0.671,-0.44,1.98,2.24,2.651,2.679
93.6,-0.674,-0.442,1.983,2.239,2.656,2.681
94.4,-0.674,-0.441,1.989,2.246,2.663,2.687
95.2,-0.675,-0.445,1.995,2.248,2.67,2.693
96.0,-0.677,-0.44,1.999,2.256,2.676,2.696
96.8,-0.678,-0.427,2.004,2.275,2.683,2.703
97.6,-0.681,-0.403,2.015,2.314,2.696,2.716
98.4,-0.68,-0.39,2.025,2.338,2.704,2.728
99.2,-0.679,-0.388,2.033,2.349,2.713,2.737
100.0,-0.68,-0.385,2.041,2.359,2.722,2.744
100.8,-0.681,-0.389,2.045,2.357,2.726,2.746
101.6,-0.683,-0.393,2.05,2.357,2.733,2.75
102.4,-0.684,-0.401,2.053,2.35,2.737,2.751
103.2,-0.685,-0.408,2.057,2.346,2.742,2.753
104.0,-0.686,-0.411,2.058,2.342,2.744,2.753
104.8,-0.687,-0.403,2.063,2.355,2.75,2.759
105.6,-0.688,-0.38,2.069,2.39,2.758,2.77
106.4,-0.689,-0.363,2.079,2.422,2.768,2.785
107.2,-0.687,-0.357,2.091,2.443,2.778,2.8
108.0,-0.686,-0.363,2.095,2.44,2.782,2.803
108.8,-0.687,-0.375,2.099,2.427,2.786,2.802
109.6,-0.688,-0.382,2.1,2.418,2.788,2.8
110.4,-0.69,-0.382,2.102,2.419,2.793,2.801
111.2,-0.69,-0.383,2.107,2.424,2.797,2.807
112.0,-0.691,-0.385,2.111,2.425,2.802,2.81
112.8,-0.691,-0.38,2.115,2.434,2.806,2.814
113.6,-0.693,-0.368,2.118,2.453,2.811,2.821
114.4,-0.692,-0.352,2.127,2.484,2.819,2.836
115.2,-0.69,-0.344,2.135,2.505,2.825,2.849
116.0,-0.689,-0.344,2.142,2.512,2.83,2.856
116.8,-0.687,-0.347,2.148,2.516,2.835,2.862
117.6,-0.687,-0.35,2.152,2.514,2.839,2.864
118.4,-0.687,-0.356,2.156,2.51,2.843,2.866
119.2,-0.688,-0.359,2.159,2.508,2.846,2.867
120.0,-0.688,-0.364,2.162,2.505,2.85,2.869
120.8,-0.689,-0.365,2.163,2.505,2.853,2.869
121.6,-0.69,-0.359,2.167,2.516,2.857,2.875
122.4,-0.689,-0.344,2.174,2.546,2.862,2.89
123.2,-0.686,-0.334,2.182,2.571,2.868,2.905
124.0,-0.682,-0.334,2.191,2.582,2.873,2.917
124.8,-0.681,-0.341,2.196,2.577,2.876,2.918
125.6,-0.68,-0.349,2.199,2.568,2.879,2.917
126.4,-0.681,-0.35,2.201,2.567,2.881,2.917
127.2,-0.68,-0.351,2.204,2.569,2.884,2.92
128.0,-0.68,-0.352,2.208,2.573,2.888,2.925
128.8,-0.68,-0.355,2.211,2.572,2.892,2.927
129.6,-0.682,-0.352,2.215,2.58,2.897,2.932
130.4,-0.68,-0.343,2.22,2.598,2.9,2.941
131.2,-0.676,-0.336,2.228,2.619,2.904,2.955
132.0,-0.673,-0.334,2.234,2.632,2.907,2.966
132.8,-0.67,-0.336,2.24,2.637,2.91,2.973
133.6,-0.667,-0.339,2.246,2.639,2.912,2.979
134.4,-0.665,-0.341,2.25,2.642,2.915,2.983
135.2,-0.664,-0.345,2.254,2.64,2.918,2.985
136.0,-0.663,-0.348,2.258,2.64,2.921,2.988
136.8,-0.663,-0.353,2.262,2.636,2.925,2.989
137.6,-0.665,-0.353,2.263,2.637,2.928,2.99
138.4,-0.663,-0.349,2.267,2.648,2.93,2.997
139.2,-0.66,-0.338,2.273,2.672,2.933,3.009
140.0,-0.655,-0.336,2.281,2.685,2.936,3.022
140.8,-0.652,-0.34,2.288,2.689,2.94,3.03
141.6,-0.649,-0.346,2.293,2.688,2.942,3.034
142.4,-0.647,-0.35,2.296,2.684,2.944,3.034
143.2,-0.646,-0.352,2.3,2.685,2.946,3.037
144.0,-0.646,-0.353,2.303,2.687,2.95,3.04
144.8,-0.552,-0.298,2.337,2.718,2.889,3.016
145.6,-0.434,-0.235,2.497,2.943,2.931,3.178
146.4,-0.368,-0.21,2.811,3.351,3.179,3.561
147.2,-0.424,-0.191,3.066,3.645,3.49,3.837
148.0,-0.44,-0.188,3.183,3.788,3.623,3.975
148.8,-0.492,-0.191,3.493,4.164,3.985,4.356
149.6,-0.534,-0.219,3.87,4.62,4.404,4.839
150.4,-0.528,-0.219,3.799,4.511,4.327,4.73
151.2,-0.531,-0.22,3.764,4.448,4.295,4.667
152.0,-0.445,-0.204,3.289,3.905,3.734,4.109
152.8,-0.439,-0.187,3.201,3.811,3.64,3.998
153.6,-0.418,-0.195,3.156,3.763,3.574,3.958
154.4,-0.473,-0.196,3.382,3.971,3.854,4.167
155.2,-0.409,-0.224,3.274,3.886,3.683,4.11
156.0,-0.369,-0.223,3.097,3.715,3.466,3.937
156.8,-0.401,-0.215,3.213,3.849,3.615,4.064
157.6,-0.407,-0.208,3.193,3.818,3.6,4.026
158.4,-0.462,-0.205,3.445,4.1,3.907,4.306
159.2,-0.485,-0.201,3.511,4.185,3.996,4.386
160.0,-0.47,-0.183,3.352,4.008,3.823,4.191
160.8,-0.431,-0.183,3.132,3.698,3.563,3.881
161.6,-0.451,-0.186,3.245,3.851,3.696,4.037
162.4,-0.398,-0.206,3.107,3.726,3.505,3.932
163.2,-0.414,-0.21,3.187,3.823,3.601,4.033
164.0,-0.447,-0.204,3.345,4.014,3.793,4.217
164.8,-0.478,-0.212,3.553,4.266,4.031,4.479
165.6,-0.381,-0.195,3.034,3.679,3.414,3.874
166.4,-0.362,-0.209,2.965,3.582,3.327,3.791
167.2,-0.368,-0.206,2.976,3.578,3.343,3.784
