t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.011,0.001,0.001,0.01,0.012
0.8,-0.017,-0.019,0.001,0.001,0.018,0.021
1.6,-0.02,-0.021,0.001,0.001,0.021,0.023
2.4,-0.02,-0.021,0.001,0.001,0.021,0.022
3.2,-0.021,-0.022,0.001,0.001,0.021,0.023
4.0,-0.021,-0.022,0.001,0.001,0.022,0.023
4.8,-0.02,-0.022,0.001,0.001,0.021,0.023
5.6,-0.02,-0.022,0.001,0.001,0.021,0.023
6.4,-0.021,-0.022,0.001,0.001,0.022,0.023
7.2,-0.021,-0.022,0.001,0.001,0.022,0.023
8.0,-0.02,-0.021,0.001,0.001,0.021,0.023
8.8,-0.02,-0.021,0.001,0.001,0.021,0.023
9.6,-0.02,-0.021,0.001,0.001,0.021,0.023
10.4,-0.02,-0.022,0.001,0.001,0.021,0.023
11.2,-0.02,-0.023,0.001,0.001,0.021,0.024
12.0,-0.02,-0.022,0.001,0.001,0.021,0.023
12.8,-0.02,-0.022,0.001,0.001,0.021,0.023
13.6,-0.02,-0.023,0.001,0.001,0.021,0.023
14.4,-0.02,-0.022,0.001,0.001,0.02,0.023
15.2,-0.019,-0.022,0.001,0.001,0.02,0.023
16.0,-0.019,-0.022,0.001,0.001,0.02,0.023
16.8,-0.02,-0.021,0.001,0.001,0.021,0.022
17.6,-0.02,-0.021,0.001,0.001,0.021,0.023
18.4,-0.02,-0.022,0.001,0.001,0.021,0.023
19.2,-0.02,-0.022,0.001,0.001,0.021,0.023
20.0,-0.019,-0.022,0.001,0.001,0.02,0.023
20.8,-0.019,-0.022,0.001,0.001,0.02,0.023
21.6,-0.019,-0.022,0.001,0.001,0.02,0.023
22.4,-0.02,-0.022,0.001,0.001,0.02,0.023
23.2,-0.02,-0.023,0.001,0.001,0.021,0.024
24.0,-0.02,-0.022,0.001,0.001,0.021,0.023
24.8,-0.02,-0.022,0.001,0.001,0.021,0.023
25.6,-0.02,-0.021,0.001,0.001,0.021,0.023
26.4,-0.021,-0.022,0.001,0.001,0.022,0.023
27.2,-0.02,-0.021,0.002,0.002,0.022,0.024
28.0,-0.019,-0.02,0.002,0.004,0.021,0.024
28.8,-0.018,-0.02,0.002,0.004,0.021,0.024
29.6,-0.019,-0.022,0.002,0.002,0.02,0.024
30.4,-0.02,-0.022,0.001,0.001,0.021,0.023
31.2,-0.02,-0.022,0.001,0.001,0.021,0.023
32.0,-0.02,-0.022,0.001,0.001,0.021,0.023
32.8,-0.019,-0.021,0.001,0.001,0.02,0.022
33.6,-0.02,-0.022,0.001,0.002,0.021,0.023
34.4,-0.02,-0.022,0.001,0.001,0.022,0.023
35.2,-0.021,-0.022,0.001,0.001,0.022,0.023
36.0,-0.021,-0.022,0.001,0.001,0.022,0.023
36.8,-0.021,-0.022,0.001,0.001,0.022,0.023
37.6,-0.02,-0.022,0.001,0.001,0.021,0.023
38.4,-0.02,-0.022,0.001,0.001,0.021,0.023
39.2,-0.02,-0.022,0.001,0.001,0.021,0.023
40.0,-0.02,-0.022,0.001,0.001,0.021,0.023
40.8,-0.02,-0.022,0.001,0.001,0.021,0.023
41.6,-0.02,-0.022,0.001,0.001,0.021,0.023
42.4,-0.02,-0.022,0.001,0.001,0.021,0.023
43.2,-0.02,-0.022,0.001,0.001,0.021,0.023
44.0,-0.02,-0.022,0.001,0.001,0.021,0.023
44.8,-0.02,-0.022,0.001,0.001,0.021,0.023
45.6,-0.168,-0.092,1.3,1.535,1.468,1.627
46.4,-0.453,-0.211,3.542,4.111,3.994,4.322
47.2,-0.715,-0.319,5.559,6.403,6.274,6.722
48.0,-0.727,-0.316,5.605,6.437,6.332,6.753
48.8,-0.726,-0.317,5.6,6.431,6.326,6.748
49.6,-0.724,-0.318,5.595,6.424,6.319,6.742
50.4,-0.722,-0.318,5.59,6.418,6.312,6.736
51.2,-0.724,-0.315,5.587,6.417,6.31,6.731
52.0,-0.724,-0.315,5.582,6.412,6.306,6.727
52.8,-0.723,-0.315,5.578,6.408,6.302,6.723
53.6,-0.72,-0.318,5.574,6.399,6.293,6.717
54.4,-0.715,-0.32,5.57,6.392,6.285,6.712
55.2,-0.71,-0.32,5.565,6.383,6.276,6.703
