t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.01,-0.012,0.0,0.0,0.01,0.012
0.8,-0.017,-0.021,0.001,0.001,0.018,0.021
1.6,-0.019,-0.023,0.001,0.001,0.02,0.024
2.4,-0.019,-0.022,0.001,0.001,0.02,0.023
3.2,-0.019,-0.022,0.001,0.001,0.02,0.023
4.0,-0.019,-0.022,0.001,0.001,0.02,0.023
4.8,-0.019,-0.022,0.001,0.001,0.02,0.024
5.6,-0.019,-0.022,0.001,0.001,0.02,0.023
6.4,-0.019,-0.022,0.001,0.001,0.02,0.023
7.2,-0.019,-0.022,0.001,0.001,0.02,0.023
8.0,-0.019,-0.023,0.001,0.001,0.02,0.024
8.8,-0.019,-0.023,0.001,0.001,0.02,0.024
9.6,-0.019,-0.023,0.001,0.001,0.02,0.024
10.4,-0.019,-0.022,0.001,0.001,0.02,0.024
11.2,-0.019,-0.022,0.001,0.001,0.02,0.024
12.0,-0.019,-0.022,0.001,0.001,0.02,0.024
12.8,-0.019,-0.022,0.001,0.001,0.02,0.023
13.6,-0.019,-0.022,0.001,0.001,0.02,0.023
14.4,-0.019,-0.022,0.001,0.001,0.02,0.024
15.2,-0.019,-0.023,0.001,0.001,0.02,0.024
16.0,-0.019,-0.023,0.001,0.001,0.02,0.023
16.8,-0.019,-0.023,0.001,0.001,0.02,0.023
17.6,-0.019,-0.023,0.001,0.001,0.02,0.023
18.4,-0.019,-0.022,0.001,0.001,0.02,0.023
19.2,-0.019,-0.022,0.001,0.001,0.02,0.023
20.0,-0.019,-0.022,0.001,0.001,0.02,0.023
20.8,-0.019,-0.022,0.001,0.001,0.02,0.023
21.6,-0.019,-0.021,0.001,0.001,0.02,0.023
22.4,-0.019,-0.022,0.001,0.001,0.02,0.023
23.2,-0.019,-0.021,0.001,0.001,0.02,0.023
24.0,-0.019,-0.022,0.001,0.001,0.02,0.023
24.8,-0.019,-0.022,0.001,0.001,0.02,0.023
25.6,-0.019,-0.022,0.001,0.001,0.02,0.023
26.4,-0.019,-0.021,0.001,0.001,0.02,0.022
27.2,-0.018,-0.02,0.002,0.003,0.02,0.023
28.0,-0.017,-0.02,0.003,0.003,0.02,0.023
28.8,-0.018,-0.021,0.002,0.002,0.02,0.023
29.6,-0.019,-0.022,0.001,0.001,0.02,0.023
30.4,-0.019,-0.021,0.001,0.001,0.02,0.023
31.2,-0.019,-0.021,0.001,0.001,0.02,0.023
32.0,-0.019,-0.022,0.001,0.001,0.02,0.023
32.8,-0.019,-0.023,0.001,0.001,0.02,0.023
33.6,-0.019,-0.022,0.001,0.001,0.02,0.023
34.4,-0.019,-0.023,0.001,0.001,0.02,0.023
35.2,-0.019,-0.022,0.001,0.001,0.02,0.023
36.0,-0.02,-0.022,0.001,0.001,0.021,0.023
36.8,-0.019,-0.022,0.001,0.001,0.02,0.023
37.6,-0.019,-0.021,0.001,0.001,0.02,0.023
38.4,-0.019,-0.022,0.001,0.001,0.02,0.023
39.2,-0.019,-0.021,0.001,0.002,0.02,0.023
40.0,-0.019,-0.022,0.001,0.001,0.02,0.023
40.8,-0.019,-0.023,0.001,0.001,0.02,0.024
41.6,-0.019,-0.023,0.001,0.001,0.021,0.024
42.4,-0.019,-0.022,0.001,0.001,0.02,0.023
43.2,-0.019,-0.022,0.001,0.001,0.02,0.023
44.0,-0.019,-0.021,0.001,0.001,0.02,0.023
44.8,-0.039,-0.032,0.251,0.312,0.29,0.344
45.6,-0.37,-0.091,2.432,2.87,2.802,2.96
46.4,-0.724,-0.133,4.652,5.458,5.376,5.591
47.2,-0.896,-0.135,5.551,6.468,6.446,6.603
48.0,-0.893,-0.136,5.544,6.461,6.438,6.597
48.8,-0.894,-0.134,5.537,6.456,6.432,6.59
49.6,-0.894,-0.134,5.532,6.45,6.426,6.584
50.4,-0.893,-0.135,5.527,6.443,6.42,6.578
51.2,-0.889,-0.136,5.523,6.434,6.411,6.57
52.0,-0.879,-0.142,5.521,6.421,6.399,6.563
52.8,-0.867,-0.153,5.518,6.404,6.385,6.558
53.6,-0.868,-0.154,5.511,6.399,6.379,6.552
