t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.011,0.001,0.001,0.01,0.012
0.8,-0.017,-0.02,0.001,0.001,0.018,0.021
1.6,-0.02,-0.022,0.001,0.001,0.021,0.023
2.4,-0.019,-0.022,0.001,0.001,0.02,0.023
3.2,-0.019,-0.021,0.001,0.001,0.02,0.023
4.0,-0.02,-0.022,0.001,0.001,0.021,0.023
4.8,-0.02,-0.022,0.001,0.001,0.021,0.023
5.6,-0.02,-0.022,0.001,0.001,0.021,0.023
6.4,-0.02,-0.022,0.001,0.001,0.021,0.022
7.2,-0.02,-0.022,0.001,0.001,0.021,0.023
8.0,-0.02,-0.022,0.001,0.001,0.021,0.023
8.8,-0.02,-0.021,0.001,0.001,0.021,0.022
9.6,-0.02,-0.022,0.001,0.001,0.021,0.022
10.4,-0.02,-0.022,0.001,0.001,0.021,0.023
11.2,-0.021,-0.022,0.001,0.001,0.022,0.023
12.0,-0.02,-0.022,0.001,0.001,0.021,0.023
12.8,-0.019,-0.021,0.001,0.001,0.02,0.022
13.6,-0.019,-0.021,0.001,0.001,0.02,0.022
14.4,-0.02,-0.022,0.001,0.001,0.021,0.023
15.2,-0.02,-0.022,0.001,0.001,0.021,0.023
16.0,-0.02,-0.023,0.001,0.001,0.021,0.024
16.8,-0.02,-0.022,0.001,0.001,0.021,0.023
17.6,-0.02,-0.022,0.001,0.001,0.021,0.023
18.4,-0.02,-0.022,0.001,0.001,0.021,0.023
19.2,-0.02,-0.021,0.001,0.001,0.021,0.022
20.0,-0.02,-0.021,0.001,0.001,0.021,0.023
20.8,-0.02,-0.022,0.001,0.001,0.021,0.023
21.6,-0.021,-0.022,0.001,0.001,0.022,0.023
22.4,-0.02,-0.022,0.001,0.001,0.021,0.023
23.2,-0.02,-0.022,0.001,0.001,0.02,0.023
24.0,-0.019,-0.022,0.001,0.001,0.02,0.022
24.8,-0.02,-0.021,0.001,0.001,0.021,0.022
25.6,-0.02,-0.022,0.001,0.001,0.021,0.023
26.4,-0.02,-0.022,0.001,0.001,0.021,0.023
27.2,-0.019,-0.021,0.002,0.002,0.02,0.023
28.0,-0.018,-0.02,0.002,0.003,0.02,0.023
28.8,-0.018,-0.019,0.002,0.003,0.02,0.022
29.6,-0.019,-0.021,0.001,0.001,0.02,0.022
30.4,-0.02,-0.022,0.001,0.001,0.02,0.023
31.2,-0.02,-0.022,0.001,0.001,0.02,0.023
32.0,-0.02,-0.022,0.001,0.001,0.021,0.023
32.8,-0.019,-0.022,0.001,0.001,0.02,0.023
33.6,-0.019,-0.022,0.001,0.001,0.02,0.023
34.4,-0.02,-0.022,0.001,0.001,0.021,0.023
35.2,-0.02,-0.022,0.001,0.001,0.021,0.023
36.0,-0.02,-0.022,0.001,0.001,0.021,0.023
36.8,-0.02,-0.021,0.001,0.001,0.021,0.023
37.6,-0.02,-0.022,0.001,0.001,0.021,0.023
38.4,-0.02,-0.022,0.001,0.001,0.021,0.023
39.2,-0.02,-0.023,0.001,0.001,0.02,0.024
40.0,-0.019,-0.023,0.001,0.001,0.02,0.023
40.8,-0.019,-0.022,0.001,0.001,0.02,0.023
41.6,-0.02,-0.022,0.001,0.001,0.021,0.023
42.4,-0.02,-0.022,0.001,0.001,0.021,0.023
43.2,-0.02,-0.023,0.001,0.001,0.021,0.023
44.0,-0.02,-0.021,0.001,0.001,0.021,0.022
44.8,-0.128,-0.083,0.994,1.18,1.122,1.263
45.6,-0.407,-0.186,3.155,3.679,3.562,3.865
46.4,-0.633,-0.261,4.213,4.963,4.845,5.224
47.2,-0.58,-0.275,2.897,3.389,3.477,3.663
48.0,-0.5,-0.355,1.788,2.015,2.288,2.37
48.8,-0.489,-0.415,1.74,1.895,2.229,2.31
49.6,-0.491,-0.424,1.711,1.865,2.202,2.289
50.4,-0.497,-0.418,1.707,1.869,2.205,2.287
51.2,-0.5,-0.412,1.714,1.88,2.214,2.292
52.0,-0.501,-0.411,1.726,1.888,2.227,2.299
52.8,-0.498,-0.412,1.74,1.897,2.238,2.309
53.6,-0.493,-0.416,1.756,1.903,2.249,2.319
54.4,-0.488,-0.413,1.769,1.915,2.257,2.328
55.2,-0.487,-0.395,1.784,1.948,2.271,2.343
56.0,-0.488,-0.365,1.806,2.005,2.294,2.37
56.8,-0.489,-0.343,1.828,2.052,2.317,2.395
57.6,-0.484,-0.337,1.853,2.078,2.337,2.415
58.4,-0.477,-0.339,1.875,2.089,2.352,2.427
59.2,-0.469,-0.347,1.893,2.089,2.363,2.435
60.0,-0.463,-0.349,1.911,2.099,2.374,2.447
60.8,-0.461,-0.342,1.929,2.119,2.39,2.461
61.6,-0.457,-0.339,1.949,2.141,2.406,2.481
62.4,-0.456,-0.333,1.966,2.164,2.422,2.497
63.2,-0.455,-0.324,1.985,2.191,2.441,2.515
64.0,-0.455,-0.31,2.005,2.227,2.46,2.536
64.8,-0.456,-0.296,2.026,2.262,2.481,2.559
65.6,-0.454,-0.289,2.046,2.291,2.5,2.58
66.4,-0.453,-0.284,2.064,2.313,2.517,2.598
67.2,-0.451,-0.283,2.083,2.332,2.533,2.615
68.0,-0.452,-0.276,2.1,2.354,2.551,2.63
68.8,-0.451,-0.274,2.116,2.372,2.567,2.646
69.6,-0.45,-0.271,2.132,2.391,2.583,2.662
70.4,-0.448,-0.271,2.148,2.403,2.596,2.674
71.2,-0.447,-0.268,2.161,2.419,2.608,2.686
72.0,-0.445,-0.262,2.177,2.442,2.623,2.705
72.8,-0.45,-0.249,2.198,2.481,2.648,2.73
73.6,-0.448,-0.245,2.216,2.506,2.664,2.75
74.4,-0.449,-0.242,2.232,2.525,2.681,2.767
75.2,-0.45,-0.24,2.247,2.542,2.696,2.782
76.0,-0.451,-0.239,2.26,2.556,2.711,2.795
76.8,-0.453,-0.237,2.273,2.572,2.726,2.809
77.6,-0.454,-0.234,2.288,2.592,2.742,2.826
78.4,-0.444,-0.232,2.309,2.611,2.752,2.844
79.2,-0.419,-0.23,2.331,2.614,2.75,2.844
80.0,-0.392,-0.242,2.355,2.605,2.747,2.847
80.8,-0.386,-0.239,2.368,2.614,2.754,2.853
81.6,-0.384,-0.25,2.384,2.62,2.768,2.87
82.4,-0.391,-0.24,2.394,2.64,2.785,2.88
83.2,-0.395,-0.226,2.406,2.665,2.8,2.892
84.0,-0.388,-0.225,2.422,2.683,2.811,2.908
84.8,-0.391,-0.222,2.436,2.697,2.827,2.92
85.6,-0.387,-0.217,2.451,2.718,2.837,2.935
86.4,-0.383,-0.222,2.468,2.73,2.851,2.951
87.2,-0.393,-0.207,2.475,2.752,2.869,2.959
88.0,-0.38,-0.214,2.497,2.766,2.877,2.98
88.8,-0.386,-0.213,2.508,2.779,2.894,2.991
89.6,-0.386,-0.209,2.52,2.798,2.906,3.006
90.4,-0.392,-0.202,2.53,2.815,2.922,3.016
91.2,-0.394,-0.196,2.54,2.829,2.935,3.026
92.0,-0.391,-0.202,2.558,2.836,2.949,3.038
92.8,-0.392,-0.198,2.569,2.852,2.962,3.05
93.6,-0.386,-0.193,2.583,2.876,2.969,3.069
94.4,-0.395,-0.189,2.591,2.888,2.986,3.077
95.2,-0.395,-0.19,2.605,2.9,3.0,3.09
96.0,-0.394,-0.187,2.616,2.915,3.011,3.102
96.8,-0.395,-0.185,2.628,2.929,3.023,3.115
97.6,-0.4,-0.182,2.638,2.942,3.038,3.124
98.4,-0.4,-0.178,2.647,2.957,3.048,3.136
99.2,-0.403,-0.175,2.658,2.972,3.06,3.147
100.0,-0.399,-0.177,2.672,2.983,3.071,3.16
100.8,-0.408,-0.172,2.679,2.993,3.087,3.166
101.6,-0.406,-0.174,2.694,3.003,3.1,3.177
102.4,-0.398,-0.171,2.705,3.024,3.103,3.195
103.2,-0.405,-0.167,2.714,3.034,3.119,3.201
104.0,-0.407,-0.165,2.724,3.046,3.131,3.212
104.8,-0.414,-0.162,2.73,3.059,3.144,3.221
105.6,-0.415,-0.161,2.741,3.071,3.155,3.232
106.4,-0.418,-0.161,2.751,3.081,3.169,3.241
107.2,-0.421,-0.157,2.758,3.094,3.179,3.251
108.0,-0.416,-0.157,2.771,3.108,3.186,3.265
108.8,-0.416,-0.155,2.782,3.119,3.197,3.274
109.6,-0.415,-0.154,2.791,3.133,3.205,3.286
110.4,-0.419,-0.152,2.799,3.141,3.219,3.294
111.2,-0.423,-0.149,2.807,3.156,3.23,3.305
112.0,-0.425,-0.148,2.818,3.164,3.243,3.312
112.8,-0.427,-0.147,2.826,3.175,3.253,3.322
113.6,-0.426,-0.146,2.836,3.188,3.262,3.333
114.4,-0.43,-0.143,2.842,3.2,3.272,3.342
115.2,-0.433,-0.142,2.851,3.209,3.284,3.35
116.0,-0.434,-0.14,2.86,3.219,3.293,3.359
116.8,-0.436,-0.139,2.868,3.228,3.304,3.367
117.6,-0.438,-0.137,2.876,3.239,3.314,3.376
118.4,-0.439,-0.136,2.883,3.251,3.323,3.387
119.2,-0.439,-0.135,2.892,3.263,3.331,3.398
120.0,-0.439,-0.136,2.902,3.272,3.34,3.408
120.8,-0.439,-0.134,2.911,3.284,3.35,3.418
121.6,-0.441,-0.132,2.92,3.292,3.362,3.424
122.4,-0.446,-0.129,2.925,3.304,3.371,3.433
123.2,-0.448,-0.128,2.933,3.312,3.382,3.44
124.0,-0.448,-0.126,2.94,3.325,3.388,3.452
124.8,-0.448,-0.126,2.95,3.332,3.398,3.458
125.6,-0.447,-0.126,2.959,3.342,3.406,3.469
126.4,-0.449,-0.126,2.967,3.352,3.416,3.478
127.2,-0.449,-0.124,2.975,3.364,3.424,3.489
128.0,-0.452,-0.123,2.982,3.373,3.434,3.497
128.8,-0.454,-0.122,2.991,3.382,3.445,3.504
129.6,-0.456,-0.12,2.996,3.393,3.452,3.513
130.4,-0.458,-0.12,3.005,3.4,3.463,3.519
131.2,-0.457,-0.118,3.011,3.412,3.468,3.529
132.0,-0.459,-0.117,3.018,3.42,3.477,3.537
132.8,-0.46,-0.117,3.026,3.429,3.486,3.546
133.6,-0.462,-0.116,3.032,3.439,3.494,3.555
134.4,-0.465,-0.115,3.038,3.448,3.503,3.562
135.2,-0.465,-0.115,3.046,3.456,3.512,3.571
136.0,-0.466,-0.114,3.055,3.465,3.521,3.579
136.8,-0.467,-0.113,3.062,3.475,3.529,3.587
137.6,-0.468,-0.112,3.069,3.484,3.537,3.597
138.4,-0.468,-0.111,3.076,3.494,3.544,3.606
139.2,-0.47,-0.109,3.082,3.504,3.553,3.613
140.0,-0.473,-0.109,3.089,3.511,3.561,3.621
140.8,-0.474,-0.11,3.095,3.519,3.569,3.629
141.6,-0.473,-0.111,3.104,3.525,3.577,3.636
142.4,-0.471,-0.11,3.112,3.536,3.584,3.645
