p_mtorr,Te_eV,lam,gamma_c,f_crit,f_50ms,f_1ms,band_over_fcrit
10.0,0.5,2.8678222352170497,3.211960903443096,0.0029997951323361086,0.0029997947726671075,0.00299895807720069,0.0002789175358670795
10.0,1.057371263440564,4.781310401767865,5.355067649980009,0.005001339145734527,0.005001334825401201,0.004990611399530119,0.0021441109188181685
10.0,2.23606797749979,7.982433686880434,10.196137930446273,0.007321369534039346,0.0073213210247629,0.007202380152061491,0.01624571361251672
10.0,4.728708045015879,13.39701060833216,18.90291839741378,0.011123573572365729,0.0111229889743937,0.009843239950817217,0.1150483713935026
10.0,10.0,22.575634398784402,34.49994691684005,0.01730688420032623,0.017299562534548285,0.00863228650969888,0.5007993307475894
17.78279410038923,0.5,2.8678222353091223,3.2119609035462173,0.0016869087717850178,0.0016869085677607032,0.0016864380593233372,0.0002789175355749373
17.78279410038923,1.057371263440564,4.781310401834772,5.355067650054945,0.00281245968435979,0.0028124572534367546,0.00280642702792183,0.0021441109177347405
17.78279410038923,2.23606797749979,7.982433687081812,10.196137930771737,0.004117108650117867,0.004117081367209134,0.004050195999234927,0.016245713596188885
17.78279410038923,4.728708045015879,13.397010608437279,18.90291839758587,0.006255245105671366,0.006254916359938195,0.0055352605981091405,0.11504837135423723
17.78279410038923,10.0,22.575634398875184,34.4999469169996,0.009732376197970977,0.009728258920891197,0.0048542914352868415,0.5007993306527226
31.622776601683793,0.5,2.8678222354065093,3.2119609036552905,0.0009486185152521636,0.0009486183994695075,0.000948353813131326,0.000278917535265651
31.622776601683793,1.057371263440564,4.781310401904821,5.3550676501334,0.001581562306783975,0.001581560938938834,0.0015781698939315745,0.0021441109166006195
31.622776601683793,2.23606797749979,7.982433687290385,10.196137931108826,0.0023152203366699807,0.0023152049919528783,0.002277592585490419,0.016245713579277708
31.622776601683793,4.728708045015879,13.397010608545939,18.902918397763756,0.0035175828233546553,0.0035173979548024387,0.0031127057800146183,0.11504837131364906
31.622776601683793,10.0,22.57563439896871,34.499946917163975,0.005472917329486036,0.005470602013368791,0.002729768678579364,0.5007993305549929
56.23413251903491,0.5,2.867822235509875,3.21196090377106,0.0005334473935945165,0.0005334473278576308,0.0005332985400255905,0.00027891753493770703
56.23413251903491,1.057371263440564,4.781310401978329,5.355067650215729,0.0008893778439617194,0.0008893770742721568,0.0008874701495289943,0.002144110915410353
56.23413251903491,2.23606797749979,7.982433687506806,10.1961379314586,0.0013019440736369268,0.0013019354432620932,0.0012807844327683956,0.016245713561730105
56.23413251903491,4.728708045015879,13.397010608658398,18.902918397947857,0.001978082187074308,0.001977978227125427,0.0017504030932610798,0.1150483712716423
56.23413251903491,10.0,22.57563439906515,34.49994691733346,0.003077647584339709,0.003076345585786798,0.0015350617361754276,0.5007993304542188
100.0,0.5,2.8678222356200176,3.21196090389442,0.0002999795146092882,0.00029997947726671077,0.000299895807720069,0.00027891753458813494
100.0,1.057371263440564,4.781310402055659,5.355067650302339,0.0005001339156604442,0.0005001334825401202,0.0004990611399530119,0.0021441109141582862
100.0,2.23606797749979,7.982433687731819,10.196137931822262,0.0007321369565149097,0.0007321321024762901,0.0007202380152061492,0.016245713543486025
100.0,4.728708045015879,13.397010608774941,18.902918398138645,0.0011123573588356843,0.00111229889743937,0.0009843239950817217,0.11504837122811051
100.0,10.0,22.575634399164688,34.499946917508396,0.0017306884214059398,0.0017299562534548287,0.0008632286509698881,0.5007993303502006
