p_mtorr,Te_eV,n_m3,lam,gam,gamma_c,gam_over_gc,t_settle_ms,Br0_over_Bw,BrR_over_Bw,Bth0_over_Bw,BthR_over_Bw
10.0,0.5,3.2387969650829256e+20,3.573605372624384,0.014961342752466952,4.00243801733931,0.003738057325972724,0.007932768127599134,0.1288026016552332,0.3499643912967665,0.1288026016552332,1.7502251348547646
10.0,1.057371263440564,3.2387969650829256e+20,5.688230370056722,0.03790633017542611,6.370818014463529,0.005949994190599731,0.015240692705619455,0.018291382572217723,0.22769191914473932,0.01829138257221772,1.8391502289971866
10.0,2.23606797749979,3.2387969650829256e+20,9.197955774990758,0.09911514526264385,12.140383542768545,0.00816408681929016,0.029714481058195564,0.0006248099020167554,0.14403329612132576,0.0006248099020167555,1.8985920790746975
10.0,4.728708045015879,3.2387969650829256e+20,15.042881287560375,0.2651059310803353,21.616420083401895,0.01226409970094429,0.007667357218043505,1.9543950165172292e-06,0.08941432426173422,1.9543950165172292e-06,1.9371394459222309
10.0,10.0,3.2387969650829256e+20,24.81340753377698,0.7213237045675395,38.46172702719041,0.018754324371799573,0.008275220158765952,6.6493446941884e-09,0.054762452310134185,6.649344694188401e-09,1.9615251505284428
17.78279410038923,0.5,5.7594859563035184e+20,3.675692228754209,0.00890093578404605,4.116775296204715,0.0021621135825051927,0.007932768127599134,0.1288026016552332,0.3499643912967665,0.1288026016552332,1.7502251348547646
17.78279410038923,1.057371263440564,5.7594859563035184e+20,5.821092631654684,0.022323711857400237,6.519623747453247,0.003424079781616312,0.015240692705619455,0.018291382572217723,0.22769191914473932,0.01829138257221772,1.8391502289971866
17.78279410038923,2.23606797749979,5.7594859563035184e+20,9.379661560123205,0.057960446743573465,12.429743552803076,0.004663044454404902,0.029714481058195564,0.0006248099020167554,0.14403329612132576,0.0006248099020167555,1.8985920790746975
17.78279410038923,4.728708045015879,5.7594859563035184e+20,15.300346379859935,0.15422682327442083,22.04434142974903,0.006996209152625916,0.007667357218043505,1.9543950165172292e-06,0.08941432426173422,1.9543950165172292e-06,1.9371394459222309
17.78279410038923,10.0,5.7594859563035184e+20,25.188042538148714,0.4179710707519112,39.13052149944173,0.010681459248067378,0.008275220158765952,6.6493446941884e-09,0.054762452310134185,6.649344694188401e-09,1.9615251505284428
31.622776601683793,0.5,1.0241975288502882e+21,3.78705956931791,0.0053132672467599545,4.241506717636059,0.0012526839164647664,0.007932768127599134,0.1288026016552332,0.3499643912967665,0.1288026016552332,1.7502251348547646
31.622776601683793,1.057371263440564,1.0241975288502882e+21,5.963722045020583,0.013176260585432696,6.679368690423053,0.001972680532566641,0.015240692705619455,0.018291382572217723,0.22769191914473932,0.01829138257221772,1.8391502289971866
31.622776601683793,2.23606797749979,1.0241975288502882e+21,9.572579916678635,0.03394809345732685,12.73700644139385,0.0026653117915524742,0.029714481058195564,0.0006248099020167554,0.14403329612132576,0.0006248099020167555,1.8985920790746975
31.622776601683793,4.728708045015879,1.0241975288502882e+21,15.571500617064771,0.08982936345831641,22.496014618470408,0.003993123447944499,0.007667357218043505,1.9543950165172292e-06,0.08941432426173422,1.9543950165172292e-06,1.9371394459222309
31.622776601683793,10.0,1.0241975288502882e+21,25.580175413099113,0.24241775455314743,39.83221472063249,0.006085972277800025,0.008275220158765952,6.6493446941884e-09,0.054762452310134185,6.649344694188401e-09,1.9615251505284428
56.23413251903491,0.5,1.821309377367213e+21,3.909204481885192,0.0031837148536599694,4.378309019711415,0.0007271562695384656,0.007932768127599134,0.1288026016552332,0.3499643912967665,0.1288026016552332,1.7502251348547646
56.23413251903491,1.057371263440564,1.821309377367213e+21,6.117377113941327,0.007796288390050577,6.851462367614287,0.001137901366415194,0.015240692705619455,0.018291382572217723,0.22769191914473932,0.01829138257221772,1.8391502289971866
56.23413251903491,2.23606797749979,1.821309377367213e+21,9.777913573417202,0.019918185655857207,13.0641900544777,0.001524639918188447,0.029714481058195564,0.0006248099020167554,0.14403329612132576,0.0006248099020167555,1.8985920790746975
56.23413251903491,4.728708045015879,1.821309377367213e+21,15.8576017102654,0.05238806996838536,22.97369243195995,0.002280350454048278,0.007667357218043505,1.9543950165172292e-06,0.08941432426173422,1.9543950165172292e-06,1.9371394459222309
56.23413251903491,10.0,1.821309377367213e+21,25.991212100575826,0.14073770159061164,40.56954335401069,0.003469048206003491,0.008275220158765952,6.6493446941884e-09,0.054762452310134185,6.649344694188401e-09,1.9615251505284428
100.0,0.5,3.2387969650829254e+21,4.043985552091244,0.001915916502834775,4.529263818342193,0.0004230083695005519,0.007932768127599134,0.1288026016552332,0.3499643912967665,0.1288026016552332,1.7502251348547646
100.0,1.057371263440564,3.2387969650829254e+21,6.283555730854771,0.004625602726032085,7.037582418557345,0.0006572715530598789,0.015240692705619455,0.018291382572217723,0.22769191914473932,0.01829138257221772,1.8391502289971866
100.0,2.23606797749979,3.2387969650829254e+21,9.997053988741117,0.011708505455273825,13.413631798114215,0.0008728810833259856,0.029714481058195564,0.0006248099020167554,0.14403329612132576,0.0006248099020167555,1.8985920790746975
100.0,4.728708045015879,3.2387969650829254e+21,16.160075328694152,0.03059455560664443,23.479935752991107,0.0013030084889711418,0.007667357218043505,1.9543950165172292e-06,0.08941432426173422,1.9543950165172292e-06,1.9371394459222309
100.0,10.0,3.2387969650829254e+21,26.422721954879606,0.0817923143777099,41.34557063674643,0.0019782606242472775,0.008275220158765952,6.6493446941884e-09,0.054762452310134185,6.649344694188401e-09,1.9615251505284428
